,city,ooaza,chome,population,households,address
0,宮崎市,,,401339,184237,宮崎県宮崎市
2,宮崎市,橘通西,一丁目,17,8,宮崎県宮崎市橘通西一丁目
3,宮崎市,橘通西,一丁目,17,14,宮崎県宮崎市橘通西一丁目
4,宮崎市,橘通西,一丁目,100,56,宮崎県宮崎市橘通西一丁目
5,宮崎市,橘通西,一丁目,43,27,宮崎県宮崎市橘通西一丁目
6,宮崎市,橘通西,一丁目,106,68,宮崎県宮崎市橘通西一丁目
7,宮崎市,橘通西,二丁目,8,4,宮崎県宮崎市橘通西二丁目
8,宮崎市,橘通西,二丁目,36,26,宮崎県宮崎市橘通西二丁目
9,宮崎市,橘通西,二丁目,40,40,宮崎県宮崎市橘通西二丁目
10,宮崎市,橘通西,二丁目,77,60,宮崎県宮崎市橘通西二丁目
11,宮崎市,橘通西,二丁目,2,1,宮崎県宮崎市橘通西二丁目
12,宮崎市,橘通西,二丁目,12,8,宮崎県宮崎市橘通西二丁目
13,宮崎市,橘通西,二丁目,37,30,宮崎県宮崎市橘通西二丁目
14,宮崎市,橘通西,二丁目,16,12,宮崎県宮崎市橘通西二丁目
15,宮崎市,橘通西,三丁目,1,1,宮崎県宮崎市橘通西三丁目
16,宮崎市,橘通西,三丁目,2,1,宮崎県宮崎市橘通西三丁目
25,宮崎市,橘通西,四丁目,3,2,宮崎県宮崎市橘通西四丁目
26,宮崎市,橘通西,四丁目,11,6,宮崎県宮崎市橘通西四丁目
27,宮崎市,橘通西,四丁目,13,12,宮崎県宮崎市橘通西四丁目
28,宮崎市,橘通西,四丁目,4,2,宮崎県宮崎市橘通西四丁目
31,宮崎市,橘通西,五丁目,71,54,宮崎県宮崎市橘通西五丁目
32,宮崎市,橘通西,五丁目,22,14,宮崎県宮崎市橘通西五丁目
33,宮崎市,橘通西,五丁目,53,45,宮崎県宮崎市橘通西五丁目
34,宮崎市,橘通西,五丁目,56,42,宮崎県宮崎市橘通西五丁目
35,宮崎市,橘通西,五丁目,26,19,宮崎県宮崎市橘通西五丁目
36,宮崎市,橘通西,五丁目,105,43,宮崎県宮崎市橘通西五丁目
37,宮崎市,橘通西,五丁目,69,43,宮崎県宮崎市橘通西五丁目
38,宮崎市,橘通西,五丁目,62,50,宮崎県宮崎市橘通西五丁目
39,宮崎市,橘通西,五丁目,108,47,宮崎県宮崎市橘通西五丁目
41,宮崎市,橘通東,一丁目,52,44,宮崎県宮崎市橘通東一丁目
42,宮崎市,橘通東,一丁目,1,1,宮崎県宮崎市橘通東一丁目
43,宮崎市,橘通東,一丁目,46,26,宮崎県宮崎市橘通東一丁目
44,宮崎市,橘通東,一丁目,49,29,宮崎県宮崎市橘通東一丁目
45,宮崎市,橘通東,一丁目,90,73,宮崎県宮崎市橘通東一丁目
46,宮崎市,橘通東,一丁目,3,2,宮崎県宮崎市橘通東一丁目
47,宮崎市,橘通東,一丁目,35,27,宮崎県宮崎市橘通東一丁目
48,宮崎市,橘通東,一丁目,6,3,宮崎県宮崎市橘通東一丁目
49,宮崎市,橘通東,一丁目,38,25,宮崎県宮崎市橘通東一丁目
51,宮崎市,橘通東,一丁目,19,7,宮崎県宮崎市橘通東一丁目
52,宮崎市,橘通東,一丁目,1,1,宮崎県宮崎市橘通東一丁目
53,宮崎市,橘通東,一丁目,86,66,宮崎県宮崎市橘通東一丁目
54,宮崎市,橘通東,一丁目,57,48,宮崎県宮崎市橘通東一丁目
56,宮崎市,橘通東,一丁目,95,44,宮崎県宮崎市橘通東一丁目
57,宮崎市,橘通東,一丁目,52,28,宮崎県宮崎市橘通東一丁目
58,宮崎市,橘通東,二丁目,28,24,宮崎県宮崎市橘通東二丁目
60,宮崎市,橘通東,二丁目,3,2,宮崎県宮崎市橘通東二丁目
61,宮崎市,橘通東,二丁目,10,8,宮崎県宮崎市橘通東二丁目
62,宮崎市,橘通東,二丁目,7,4,宮崎県宮崎市橘通東二丁目
63,宮崎市,橘通東,二丁目,69,62,宮崎県宮崎市橘通東二丁目
64,宮崎市,橘通東,二丁目,17,13,宮崎県宮崎市橘通東二丁目
65,宮崎市,橘通東,二丁目,37,32,宮崎県宮崎市橘通東二丁目
66,宮崎市,橘通東,二丁目,14,10,宮崎県宮崎市橘通東二丁目
68,宮崎市,橘通東,三丁目,41,36,宮崎県宮崎市橘通東三丁目
69,宮崎市,橘通東,三丁目,25,17,宮崎県宮崎市橘通東三丁目
70,宮崎市,橘通東,三丁目,73,50,宮崎県宮崎市橘通東三丁目
71,宮崎市,橘通東,三丁目,17,6,宮崎県宮崎市橘通東三丁目
72,宮崎市,橘通東,三丁目,9,4,宮崎県宮崎市橘通東三丁目
73,宮崎市,橘通東,三丁目,18,11,宮崎県宮崎市橘通東三丁目
74,宮崎市,橘通東,三丁目,12,6,宮崎県宮崎市橘通東三丁目
75,宮崎市,橘通東,三丁目,9,7,宮崎県宮崎市橘通東三丁目
76,宮崎市,橘通東,三丁目,12,10,宮崎県宮崎市橘通東三丁目
78,宮崎市,橘通東,四丁目,4,2,宮崎県宮崎市橘通東四丁目
79,宮崎市,橘通東,四丁目,119,57,宮崎県宮崎市橘通東四丁目
80,宮崎市,橘通東,四丁目,103,52,宮崎県宮崎市橘通東四丁目
81,宮崎市,橘通東,四丁目,17,8,宮崎県宮崎市橘通東四丁目
82,宮崎市,橘通東,四丁目,10,4,宮崎県宮崎市橘通東四丁目
83,宮崎市,橘通東,四丁目,76,60,宮崎県宮崎市橘通東四丁目
84,宮崎市,橘通東,四丁目,14,11,宮崎県宮崎市橘通東四丁目
87,宮崎市,橘通東,四丁目,27,14,宮崎県宮崎市橘通東四丁目
88,宮崎市,橘通東,四丁目,34,20,宮崎県宮崎市橘通東四丁目
89,宮崎市,橘通東,四丁目,18,11,宮崎県宮崎市橘通東四丁目
90,宮崎市,橘通東,五丁目,80,69,宮崎県宮崎市橘通東五丁目
91,宮崎市,橘通東,五丁目,58,36,宮崎県宮崎市橘通東五丁目
92,宮崎市,橘通東,五丁目,69,43,宮崎県宮崎市橘通東五丁目
93,宮崎市,橘通東,五丁目,96,59,宮崎県宮崎市橘通東五丁目
94,宮崎市,橘通東,五丁目,30,23,宮崎県宮崎市橘通東五丁目
95,宮崎市,橘通東,五丁目,116,55,宮崎県宮崎市橘通東五丁目
96,宮崎市,橘通東,五丁目,138,69,宮崎県宮崎市橘通東五丁目
97,宮崎市,橘通東,五丁目,94,54,宮崎県宮崎市橘通東五丁目
98,宮崎市,橘通東,五丁目,44,34,宮崎県宮崎市橘通東五丁目
99,宮崎市,橘通東,五丁目,63,61,宮崎県宮崎市橘通東五丁目
100,宮崎市,橘通東,五丁目,92,72,宮崎県宮崎市橘通東五丁目
101,宮崎市,橘通東,五丁目,38,37,宮崎県宮崎市橘通東五丁目
102,宮崎市,橘通東,五丁目,51,48,宮崎県宮崎市橘通東五丁目
103,宮崎市,松橋,一丁目,50,37,宮崎県宮崎市松橋一丁目
104,宮崎市,松橋,一丁目,18,10,宮崎県宮崎市松橋一丁目
105,宮崎市,松橋,一丁目,32,24,宮崎県宮崎市松橋一丁目
