日付,曜日,台売上合計,台売上,台粗利合計,台粗利,打込,総打込,利益率,有効S,入賞S1,BA,MY,出玉率,客滞率,玉単価,玉利,割数,勝率,景品額平均,台数,元ファイル
2023/1/1,日,7609202,10568,2278798,3165,9493,6834909,29.95%,5.43,5.63,85.7,4645,93.09%,172.23%,1.113,0.333,7.83,32.22%,8276,720,202301.csv
2023/1/2,月,9479612,13166,2287199,3177,12421,8942816,24.13%,5.4,5.6,85.61,5907,95.88%,169.21%,1.06,0.256,8.72,34.31%,11487,720,202301.csv
2023/1/3,火,8787161,12204,2173609,3019,12373,8908494,24.74%,5.43,5.65,85.02,5548,93.89%,173.32%,0.986,0.244,8.07,35.14%,9847,720,202301.csv
2023/1/4,水,8223701,11422,1544907,2146,11121,8007408,18.79%,5.42,5.64,85.31,5383,95.63%,166.35%,1.027,0.193,8.67,34.72%,9906,720,202301.csv
2023/1/5,木,7439966,10333,1788504,2484,10367,7463991,24.04%,5.47,5.66,84.28,4649,95.26%,165.16%,0.997,0.24,8.53,34.44%,8819,720,202301.csv
2023/1/6,金,7076919,9829,1191910,1655,9377,6751577,16.84%,5.43,5.61,84.03,4752,96.35%,163.29%,1.048,0.177,8.9,30.69%,8749,720,202301.csv
2023/1/7,土,8363267,11616,1413688,1963,11702,8425481,16.90%,5.49,5.7,84.94,5097,94.44%,168.06%,0.993,0.168,8.28,33.75%,9618,720,202301.csv
2023/1/8,日,7997832,11108,740813,1029,12340,8885082,9.26%,5.5,5.7,84.19,5522,99.89%,179.63%,0.9,0.083,9.96,37.92%,11068,720,202301.csv
2023/1/9,月,7965646,11063,1317963,1831,10801,7776735,16.55%,5.46,5.67,85.09,5000,97.82%,166.50%,1.024,0.169,9.31,35.14%,10301,720,202301.csv
2023/1/10,火,12206833,16954,3540136,4917,14835,10681388,29.00%,5.41,5.63,85.8,6303,91.89%,163.21%,1.143,0.331,7.6,35.42%,12887,720,202301.csv
2023/1/12,木,8358764,11609,2638249,3664,11240,8092783,31.56%,5.53,5.76,86.7,4835,94.39%,160.86%,1.033,0.326,8.29,31.25%,9628,720,202301.csv
2023/1/13,金,6556905,9107,1437540,1997,9400,6767674,21.92%,5.58,5.77,87.26,4242,96.73%,169.50%,0.969,0.212,8.95,31.39%,8147,720,202301.csv
2023/1/14,土,9567015,13288,1748623,2429,13167,9480270,18.28%,5.47,5.7,86.79,5705,94.66%,168.56%,1.009,0.184,8.35,33.89%,11096,720,202301.csv
2023/1/15,日,9827434,13649,2407258,3343,13106,9436437,24.50%,5.42,5.64,84.79,5693,93.08%,169.08%,1.041,0.255,7.84,35.28%,10698,720,202301.csv
2023/1/16,月,6997962,9719,1523490,2116,9182,6610888,21.77%,5.49,5.69,85.31,4126,94.56%,169.90%,1.059,0.23,8.28,30.83%,8043,720,202301.csv
2023/1/17,火,6744888,9368,1270858,1765,9176,6606361,18.84%,5.46,5.7,87.34,4488,97.35%,164.71%,1.021,0.192,9.18,33.89%,8601,720,202301.csv
2023/1/18,水,6733752,9352,1743794,2422,9112,6560467,25.90%,5.42,5.65,86.45,4156,94.54%,165.30%,1.026,0.266,8.29,31.25%,7753,720,202301.csv
2023/1/19,木,6274996,8715,1358302,1887,8418,6060656,21.65%,5.52,5.75,84.61,3805,93.49%,166.22%,1.035,0.224,7.96,29.17%,6939,720,202301.csv
2023/1/20,金,7400853,10279,2261572,3141,9526,6858930,30.56%,5.48,5.7,84.48,4064,93.15%,165.04%,1.079,0.33,7.88,30.83%,8103,720,202301.csv
2023/1/21,土,9063423,12588,2742504,3809,11983,8627921,30.26%,5.5,5.72,85.3,5127,92.03%,168.54%,1.05,0.318,7.57,31.81%,9531,720,202301.csv
2023/1/22,日,9618533,13359,3367281,4677,12082,8699123,35.01%,5.48,5.71,85.39,5262,90.78%,168.15%,1.106,0.387,7.16,31.25%,9565,720,202301.csv
2023/1/24,火,11386982,15815,1999657,2777,14294,10291769,17.56%,5.53,5.8,85.2,6096,96.56%,166.27%,1.106,0.194,8.94,39.03%,14132,720,202301.csv
2023/1/25,水,8242087,11447,2113034,2935,10489,7552314,25.64%,5.57,5.82,87.24,4603,92.72%,168.75%,1.091,0.28,7.75,32.22%,8872,720,202301.csv
2023/1/26,木,7376277,10245,1979875,2750,10062,7244718,26.84%,5.53,5.77,86.14,4575,96.48%,174.25%,1.018,0.273,8.86,31.94%,9075,720,202301.csv
2023/1/27,金,7468257,10373,1536184,2134,10267,7392533,20.57%,5.57,5.8,84.94,4482,93.11%,165.29%,1.01,0.208,7.9,30.42%,8191,720,202301.csv
2023/1/28,土,9155553,12716,2093989,2908,12341,8885688,22.87%,5.54,5.78,85.7,5483,95.26%,171.99%,1.03,0.236,8.51,35.97%,10817,720,202301.csv
2023/1/29,日,8552948,11879,1725773,2397,11913,8577490,20.18%,5.55,5.77,85.63,5338,97.03%,176.88%,0.997,0.201,9.03,35.14%,10725,720,202301.csv
2023/1/30,月,7000341,9723,2173630,3019,9525,6857885,31.05%,5.56,5.8,86.14,4168,93.45%,169.21%,1.021,0.317,7.94,31.39%,7717,720,202301.csv
2023/1/31,火,6185724,8591,1546960,2149,8560,6163248,25.01%,5.57,5.79,86.47,3722,92.72%,167.19%,1.004,0.251,7.68,29.58%,6600,720,202301.csv
2023/2/1,水,7129888,9903,1643140,2282,9262,6668424,23.05%,5.53,5.76,85.46,4330,94.48%,166.47%,1.069,0.246,8.3,30.00%,8215,720,202302.csv
2023/2/2,木,6692597,9295,2202454,3059,8490,6112908,32.91%,5.51,5.73,84.71,3821,91.91%,165.67%,1.095,0.36,7.56,27.36%,7023,720,202302.csv
2023/2/3,金,6955130,9660,1430486,1987,9680,6969283,20.57%,5.47,5.66,84.78,4313,95.95%,167.74%,0.998,0.205,8.72,32.64%,8423,720,202302.csv
2023/2/4,土,9018752,12526,1477938,2053,13196,9501329,16.39%,5.44,5.65,84.93,5690,96.41%,179.53%,0.949,0.156,8.79,36.81%,11015,720,202302.csv
2023/2/5,日,9435491,13105,1697197,2357,12888,9279048,17.99%,5.52,5.73,85.37,5918,97.68%,172.00%,1.017,0.183,9.26,36.94%,12135,720,202302.csv
2023/2/6,月,12860919,17862,2758016,3831,15471,11139014,21.44%,5.48,5.7,85.12,6589,95.08%,166.52%,1.155,0.248,8.49,38.33%,15170,720,202302.csv
2023/2/8,水,8239163,11443,2384164,3311,11356,8176411,28.94%,5.56,5.81,84.41,4763,93.91%,167.55%,1.008,0.292,8.1,33.19%,9273,720,202302.csv
2023/2/9,木,6320982,8779,1586023,2203,8763,6309003,25.09%,5.56,5.77,84.5,4106,94.04%,160.60%,1.002,0.251,8.23,30.00%,7225,720,202302.csv
2023/2/10,金,7449416,10346,1516065,2106,10085,7261304,20.35%,5.56,5.77,85.52,4564,95.25%,166.44%,1.026,0.209,8.52,32.22%,8820,720,202302.csv
2023/2/11,土,9710950,13487,2269564,3152,13029,9380806,23.37%,5.55,5.77,84.99,5748,96.00%,171.71%,1.035,0.242,8.74,33.06%,11790,720,202302.csv
2023/2/12,日,9040156,12556,2182879,3032,12779,9200849,24.15%,5.57,5.79,85.42,5473,95.17%,175.76%,0.983,0.237,8.44,36.67%,10598,720,202302.csv
2023/2/13,月,7075455,9827,1562851,2171,9410,6775100,22.09%,5.57,5.78,83.71,4348,95.37%,170.18%,1.044,0.231,8.55,30.83%,8398,720,202302.csv
2023/2/14,火,6290132,8736,1146263,1592,8757,6305053,18.22%,5.59,5.8,84.08,4021,95.99%,162.49%,0.998,0.182,8.76,30.69%,7654,720,202302.csv
2023/2/15,水,7933531,11019,1094235,1520,11692,8418135,13.79%,5.53,5.76,83.89,5062,96.10%,169.54%,0.942,0.13,8.76,35.69%,9651,720,202302.csv
2023/2/16,木,7318868,10165,1834489,2548,10146,7305006,25.07%,5.56,5.77,85.18,4446,94.35%,166.36%,1.002,0.251,8.24,32.08%,8376,720,202302.csv
2023/2/17,金,8276385,11495,2409653,3347,12334,8880397,29.11%,5.57,5.78,84.82,5137,96.44%,166.82%,0.932,0.271,8.89,31.25%,10221,720,202302.csv
