iter	RMSE
0	2638988.838
1	2601751.28
2	2533868.341
3	2489000.644
4	2452310.094
5	2404037.501
6	2364759.632
7	2324875.275
8	2293521.764
9	2260893.659
10	2233313.674
11	2197218.141
12	2174582.919
13	2140660.324
14	2108014.615
15	2076354.988
16	2040868.762
17	2000646.628
18	1969083.07
19	1944561.882
20	1923221.112
21	1906892.971
22	1884723.323
23	1861169.891
24	1848458.136
25	1831021.424
26	1798535.522
27	1774026.925
28	1750108.968
29	1726836.235
30	1712162.346
31	1681938.376
32	1663494.619
33	1647451.459
34	1629610.151
35	1618186.716
36	1596176.291
37	1564944.421
38	1555330.914
39	1528766.101
40	1505906.928
41	1479053.699
42	1470077.345
43	1452963.293
44	1440705.666
45	1423479.103
46	1419205.507
47	1403749.031
48	1385757.213
49	1370408.438
50	1357339
51	1328187.979
52	1307515.19
53	1298112.452
54	1279350.939
55	1268139.337
56	1256874.822
57	1244037.143
58	1225784.909
59	1205005.463
60	1193008.848
61	1180052.326
62	1166835.661
63	1147202.079
64	1128308.777
65	1120002.53
66	1108962.958
67	1090361.685
68	1080050.64
69	1065032.884
70	1054103.951
71	1038598.964
72	1032528.891
73	1023359.62
74	1008512.111
75	992974.1253
76	983118.9862
77	968907.4576
78	961747.2678
79	945280.6409
80	936477.5689
81	928319.5773
82	916003.3556
83	898469.3927
84	883645.571
85	873136.2798
86	863891.9694
87	853137.6442
88	846535.4752
89	834355.017
90	822823.9825
91	812015.0972
92	803480.5475
93	795915.8364
94	789558.5474
95	776792.1963
96	766443.7691
97	760180.7697
98	749963.5499
99	738760.1826
100	727871.497
101	718632.5833
102	708271.1826
103	698220.0625
104	689616.3153
105	680052.8304
106	670227.9023
107	661991.307
108	653229.5358
109	644456.4927
110	637049.7045
111	629846.355
112	621235.7003
113	613288.9778
114	609167.2067
115	601534.2787
116	595092.4884
117	588793.1
118	580833.2128
119	573777.7415
120	567880.6824
121	561822.8646
122	556261.8642
123	549831.6925
124	543602.5962
125	537681.5609
126	532373.3084
127	526531.4581
128	518975.6221
129	514105.4791
130	509921.7481
131	505882.3152
132	500547.9097
133	496081.0042
134	491771.3477
135	487613.1055
136	483600.6607
137	479943.839
138	475456.0611
139	471952.9677
140	468237.3886
141	463977.8653
142	460653.8403
143	457442.5558
144	453002.2414
145	449930.8962
146	445930.2764
147	442987.8143
148	440616.1812
149	438310.8407
150	435487.5727
151	431423.9376
152	429235.1655
153	426537.0066
154	422668.3231
155	419848.2215
156	416282.6374
157	413169.5965
158	411183.6904
159	409255.5962
160	406320.2983
161	402814.5288
162	399408.0425
163	396894.7557
164	394153.752
165	390902.4789
166	388405.5625
167	385820.0604
168	382441.8893
169	379139.6306
170	376716.4113
171	372888.5005
172	369148.4501
173	368068.7428
174	364404.1386
175	362115.4545
176	360665.4569
177	359259.047
178	355101.1531
179	351054.665
180	349316.0845
181	345393.4803
182	344038.5729
183	340217.3727
184	336495.7461
185	334880.3586
186	332209.978
187	328654.634
188	326099.7469
189	323602.8463
190	320550.5038
191	319026.0956
192	316612.1616
193	314253.4094
194	311948.7965
195	309697.2965
196	306860.1926
197	304683.4342
198	302893.5599
199	300196.6807
200	299101.2831
201	296505.6435
202	293999.5008
203	291579.5451
204	288254.4732
205	285017.0803
206	284017.5834
207	282221.6586
208	279924.5701
209	278234.1553
210	275133.0242
211	272113.7933
212	270150.4934
213	267226.3982
214	264379.9525
215	261609.3021
216	260059.9058
217	259290.041
218	256969.0839
219	254725.2552
220	253401.9848
221	252511.4258
222	249881.1081
223	249029.7764
224	248204.8133
225	246386.1068
226	244430.1297
227	242665.1843
228	240631.971
229	238556.7146
230	236863.2294
231	234908.3722
232	233270.4465
233	230861.3695
234	229278.9745
235	227336.9343
236	224932.2782
237	222604.0582
238	220789.154
239	219574.4891
240	219027.8436
241	218314.9792
242	216054.747
243	215338.853
244	214644.508
245	213035.4906
246	211235.9787
247	210588.0252
248	209959.394
249	207845.8005
250	205788.0755
251	205103.1723
252	204506.4113
253	202867.1662
254	201485.3991
255	199523.4317
256	197613.9725
257	196085.4558
258	194977.9774
259	193509.7946
260	192188.4525
261	190913.0322
262	189132.3681
263	187400.5062
264	186163.4141
265	184795.4428
266	183685.4579
267	182027.6534
268	180415.7843
269	179247.0409
270	178214.6223
271	177225.713
272	175946.0175
273	174875.4624
274	173953.5856
275	173070.0423
276	172088.5103
277	171266.861
278	170479.0178
279	168917.2737
280	168011.0623
281	167275.3114
282	166894.6949
283	166529.2921
284	165012.612
285	163538.5239
286	162677.266
287	161239.8417
288	160097.7386
289	159256.3703
290	157881.6985
291	156546.1386
292	155721.24
293	154921.9527
294	153858.1958
295	153209.8535
296	152451.1288
297	151846.5922
298	151128.2816
299	149831.1118
