iter	Passed	Remaining
0	28	8568
1	62	9342
2	82	8138
3	99	7355
4	135	7987
5	182	8930
6	200	8386
7	230	8418
8	252	8178
9	268	7774
10	300	7903
11	345	8298
12	395	8720
13	444	9078
14	481	9143
15	532	9457
16	590	9827
17	648	10159
18	701	10378
19	737	10327
20	755	10031
21	794	10037
22	836	10076
23	885	10183
24	919	10113
25	956	10079
26	994	10052
27	1041	10121
28	1083	10121
29	1111	10000
30	1127	9783
31	1169	9796
32	1212	9812
33	1232	9646
34	1285	9734
35	1302	9550
36	1325	9421
37	1376	9492
38	1392	9320
39	1438	9348
40	1487	9396
41	1532	9416
42	1559	9318
43	1605	9339
44	1650	9352
45	1681	9283
46	1710	9208
47	1749	9182
48	1790	9172
49	1830	9152
50	1868	9125
51	1904	9082
52	1956	9118
53	1976	9003
54	2019	8998
55	2072	9029
56	2123	9052
57	2178	9089
58	2227	9100
59	2275	9102
60	2307	9041
61	2343	8995
62	2380	8954
63	2420	8924
64	2473	8941
65	2528	8965
66	2575	8956
67	2627	8965
68	2667	8929
69	2706	8893
70	2725	8790
71	2775	8789
72	2820	8770
73	2867	8757
74	2919	8757
75	2966	8742
76	3007	8710
77	3045	8668
78	3088	8640
79	3137	8628
80	3190	8625
81	3238	8608
82	3278	8572
83	3325	8550
84	3362	8505
85	3412	8491
86	3455	8460
87	3499	8430
88	3539	8391
89	3577	8348
90	3614	8302
91	3658	8272
92	3702	8241
93	3742	8201
94	3782	8162
95	3822	8122
96	3857	8073
97	3897	8034
98	3936	7992
99	3973	7947
100	4014	7909
101	4057	7875
102	4099	7840
103	4140	7803
104	4176	7756
105	4210	7705
106	4245	7658
107	4287	7621
108	4327	7582
109	4363	7536
110	4400	7492
111	4437	7448
112	4484	7421
113	4539	7405
114	4577	7363
115	4622	7332
116	4666	7299
117	4717	7275
118	4773	7260
119	4817	7226
120	4855	7183
121	4896	7144
122	4937	7105
123	4976	7062
124	5010	7015
125	5044	6966
126	5081	6922
127	5127	6890
128	5181	6868
129	5237	6848
130	5290	6825
131	5341	6798
132	5390	6768
133	5432	6729
134	5477	6695
135	5529	6667
136	5583	6643
137	5638	6618
138	5675	6573
139	5715	6532
140	5748	6482
141	5794	6447
142	5834	6405
143	5882	6373
144	5918	6326
145	5959	6286
146	5994	6239
147	6044	6208
148	6093	6175
149	6149	6149
150	6198	6116
151	6242	6078
152	6282	6035
153	6350	6020
154	6407	5993
155	6453	5957
156	6499	5920
157	6540	5878
158	6586	5841
159	6633	5804
160	6672	5761
161	6719	5723
162	6755	5677
163	6793	5633
164	6836	5593
165	6879	5553
166	6931	5519
167	6975	5480
168	7023	5443
169	7075	5410
170	7128	5377
171	7177	5341
172	7221	5301
173	7267	5262
174	7315	5225
175	7362	5186
176	7420	5156
177	7461	5114
178	7505	5073
179	7557	5038
180	7610	5003
181	7648	4958
182	7700	4923
183	7736	4877
184	7773	4831
185	7821	4793
186	7868	4754
187	7911	4713
188	7946	4667
189	7978	4618
190	8010	4571
191	8048	4527
192	8093	4487
193	8145	4450
194	8188	4409
195	8229	4366
196	8272	4325
197	8312	4282
198	8354	4240
199	8401	4200
200	8444	4159
201	8494	4120
202	8536	4079
203	8579	4037
204	8627	3998
205	8669	3955
206	8713	3914
207	8763	3876
208	8820	3840
209	8863	3798
210	8917	3761
211	8970	3723
212	9008	3679
213	9050	3637
214	9093	3594
215	9150	3558
216	9196	3517
217	9247	3478
218	9289	3435
219	9332	3393
220	9375	3351
221	9414	3307
222	9461	3266
223	9511	3227
224	9556	3185
225	9593	3141
226	9635	3098
227	9686	3058
228	9746	3021
229	9793	2980
230	9829	2936
231	9867	2892
232	9904	2848
233	9944	2804
234	9987	2762
235	10023	2718
236	10055	2672
237	10094	2629
238	10139	2587
239	10182	2545
240	10228	2504
241	10276	2463
242	10330	2423
243	10383	2383
244	10439	2343
245	10492	2303
246	10533	2260
247	10574	2217
248	10614	2173
249	10660	2132
250	10703	2089
251	10744	2046
252	10785	2003
253	10822	1959
254	10866	1917
255	10910	1875
256	10954	1832
257	10994	1789
258	11033	1746
259	11069	1703
260	11112	1660
261	11165	1619
262	11209	1577
263	11261	1535
264	11308	1493
265	11352	1451
266	11406	1409
267	11447	1366
268	11489	1324
269	11544	1282
270	11593	1240
271	11637	1198
272	11681	1155
273	11720	1112
274	11772	1070
275	11808	1026
276	11847	983
277	11894	941
278	11942	898
279	11989	856
280	12036	813
281	12074	770
282	12116	727
283	12157	684
284	12202	642
285	12248	599
286	12287	556
287	12322	513
288	12360	470
289	12405	427
290	12452	385
291	12488	342
292	12520	299
293	12556	256
294	12589	213
295	12627	170
296	12669	127
297	12708	85
298	12740	42
299	12773	0
