address,population,households,latitude,longitude
宮崎県宮崎市,401339,184237,31.9076334,131.4204022
宮崎県宮崎市あけぼの一丁目（南分団）,125,45,,
宮崎県宮崎市あけぼの三丁目（南分団）,325,108,,
宮崎県宮崎市あけぼの二丁目（南分団）,215,67,,
宮崎県宮崎市あけぼの四丁目（南分団）,140,43,,
宮崎県宮崎市あさひ一丁目,232,105,,
宮崎県宮崎市あさひ二丁目,199,126,,
宮崎県宮崎市まなび野一丁目,707,236,31.862992,131.420411
宮崎県宮崎市まなび野三丁目,162,66,31.858738,131.416124
宮崎県宮崎市まなび野二丁目,978,360,31.8605357,131.4172577
宮崎県宮崎市一の宮町,572,291,31.9066207,131.4448151
宮崎県宮崎市上倉永上倉（穆佐）,228,101,,
宮崎県宮崎市上倉永内之八重（穆佐）,49,20,,
宮崎県宮崎市上倉永柞木橋（穆佐）,72,30,,
宮崎県宮崎市上倉永的野（穆佐）,231,98,,
宮崎県宮崎市上田島,4536,1916,39.1994682,117.7697454
宮崎県宮崎市上野町,386,243,31.9117635,131.4203664
宮崎県宮崎市下倉永上倉（穆佐）,82,27,,
宮崎県宮崎市下倉永下倉（穆佐）,247,107,,
宮崎県宮崎市下倉永宮水流（穆佐）,386,174,,
宮崎県宮崎市下倉永祇園台（穆佐）,899,342,,
宮崎県宮崎市下北方町,8083,3594,31.946976,131.416748
宮崎県宮崎市下原町,1224,631,31.9224237,131.4335981
宮崎県宮崎市下富田,21,9,23.5718326,116.761606
宮崎県宮崎市下田島（東）,7293,2929,38.911038,141.5450248
宮崎県宮崎市下田島（西）,8048,3281,36.8543743,119.4624074
宮崎県宮崎市下那珂,8173,3205,31.9972217,131.4593408
宮崎県宮崎市中央通,29,19,31.9151927,131.4210792
宮崎県宮崎市中村東一丁目,408,272,31.90231,131.419929
宮崎県宮崎市中村東三丁目,328,206,31.89567,131.417739
宮崎県宮崎市中村東二丁目,309,183,31.899209,131.41922
宮崎県宮崎市中村西一丁目,424,240,31.9024768,131.4182908
宮崎県宮崎市中村西三丁目,266,168,31.8955276,131.4167362
宮崎県宮崎市中村西二丁目,564,349,31.899664,131.417574
宮崎県宮崎市中津瀬町,1133,528,31.9226367,131.4174035
宮崎県宮崎市中西町,1828,824,31.9037665,131.4440534
宮崎県宮崎市丸山一丁目,633,354,31.926709,131.422666
宮崎県宮崎市丸山二丁目,1357,729,31.9292067,131.42342
宮崎県宮崎市丸島町,536,365,31.9210717,131.4267562
宮崎県宮崎市乙,40,10,31.9079054,131.4210997
宮崎県宮崎市乙七野（西分団）,266,92,,
宮崎県宮崎市乙三角寺（北分団）,114,47,,
宮崎県宮崎市乙上ノ原（西分団）,86,39,,
宮崎県宮崎市乙上下鷺瀬（北分団）,167,69,,
宮崎県宮崎市乙上学ノ木（中央分団）,52,28,,
宮崎県宮崎市乙上屋敷（北分団）,129,50,,
宮崎県宮崎市乙上桜町（中央分団）,83,36,,
宮崎県宮崎市乙下学ノ木（中央分団）,128,60,,
宮崎県宮崎市乙下屋敷（北分団）,194,84,,
宮崎県宮崎市乙中原（中央分団）,178,94,,
宮崎県宮崎市乙仮屋原（北分団）,102,45,,
宮崎県宮崎市乙仲町（中央分団）,122,56,,
宮崎県宮崎市乙元野（南分団）,40,17,,
宮崎県宮崎市乙光町（北分団）,182,87,,
宮崎県宮崎市乙八重（西分団）,80,36,,
宮崎県宮崎市乙公園台（北分団）,130,54,,
宮崎県宮崎市乙北桜町（北分団）,72,31,,
宮崎県宮崎市乙合又（中央分団）,179,77,,
宮崎県宮崎市乙向町（北分団）,92,39,,
宮崎県宮崎市乙唐仁田（西分団）,5,4,,
宮崎県宮崎市乙堀口（北分団）,48,24,,
宮崎県宮崎市乙塩水（西分団）,32,12,,
宮崎県宮崎市乙天神（西分団）,3,3,,
宮崎県宮崎市乙日南学園（北分団）,74,5,,
宮崎県宮崎市乙本町（中央分団）,39,21,,
宮崎県宮崎市乙東桜町（北分団）,70,31,,
宮崎県宮崎市乙松山（西分団）,162,38,,
宮崎県宮崎市乙法光坊（北分団）,299,122,,
宮崎県宮崎市乙灰ケ野（北分団）,53,22,,
宮崎県宮崎市乙片井野（西分団）,171,65,,
宮崎県宮崎市乙町光団地（北分団）,103,50,,
宮崎県宮崎市乙白砂ケ尾（北分団）,12,4,,
宮崎県宮崎市乙県光団地（北分団）,207,97,,
宮崎県宮崎市乙稲荷町（中央分団）,72,28,,
宮崎県宮崎市乙西桜団地（北分団）,59,25,,
宮崎県宮崎市乙西桜町（北分団）,32,12,,
宮崎県宮崎市乙野崎（西分団）,35,18,,
宮崎県宮崎市乙鹿村野（北分団）,77,30,,
宮崎県宮崎市五町中村（中央）,147,63,,
宮崎県宮崎市五町五区（中央）,185,88,,
宮崎県宮崎市五町井上（中央）,35,15,,
宮崎県宮崎市五町南城寺（大字内山）,6,2,,
宮崎県宮崎市五町原田（大字内山）,85,36,,
宮崎県宮崎市五町去川（去川）,12,7,,
宮崎県宮崎市五町押田（大字内山）,142,52,,
宮崎県宮崎市五町東区（中央）,159,59,,
宮崎県宮崎市五町片前（去川）,30,15,,
宮崎県宮崎市五町田中（大字内山）,57,26,,
宮崎県宮崎市五町町（中央）,200,88,,
宮崎県宮崎市五町西区（中央）,109,56,,
宮崎県宮崎市京塚一丁目,399,190,31.8981195,131.4128822
宮崎県宮崎市京塚二丁目,121,60,31.8974535,131.4110537
宮崎県宮崎市京塚町,250,143,31.8962999,131.4127273
宮崎県宮崎市今泉上今泉,671,227,34.8179639,135.5758876
宮崎県宮崎市今泉上大久保,375,134,,
宮崎県宮崎市今泉下今泉,390,140,23.6836086,117.003329
宮崎県宮崎市今泉下大久保,140,52,,
宮崎県宮崎市今泉丸目,170,69,,
宮崎県宮崎市今泉尾平,510,193,23.6836086,117.003329
宮崎県宮崎市今泉岡,369,168,23.6836086,117.003329
宮崎県宮崎市今泉松ノ木田,438,185,,
宮崎県宮崎市今泉松叶,346,121,,
宮崎県宮崎市今泉永山,419,172,,
宮崎県宮崎市今泉沓掛,1655,631,,
宮崎県宮崎市今泉石坂,17,12,34.8179639,135.5758876
宮崎県宮崎市今泉谷ノ口,214,78,,
宮崎県宮崎市元宮町,410,284,31.913604,131.417247
宮崎県宮崎市内山中村（中央）,181,77,,
宮崎県宮崎市内山五区（中央）,430,186,,
宮崎県宮崎市内山南城寺（大字内山）,103,51,,
宮崎県宮崎市内山去川（去川）,102,55,,
宮崎県宮崎市内山和石（去川）,56,29,,
宮崎県宮崎市内山新田（大字内山）,156,71,,
宮崎県宮崎市内山東区（中央）,240,88,,
宮崎県宮崎市内山板ケ八重（大字内山）,31,11,,
宮崎県宮崎市内山町（中央）,15,7,,
宮崎県宮崎市内山西区（中央）,55,34,,
宮崎県宮崎市内山飯田（中央）,248,23,,
宮崎県宮崎市出来島町,1183,569,31.9017661,131.4371681
宮崎県宮崎市別府町,115,78,31.9112359,131.4284252
宮崎県宮崎市前原町,53,26,31.904494,131.4363447
宮崎県宮崎市加納一丁目,410,247,31.87221,131.396002
宮崎県宮崎市加納三丁目,290,124,31.8739551,131.4014145
宮崎県宮崎市加納二丁目,357,206,31.872776,131.398821
宮崎県宮崎市加納五丁目,202,166,31.8764854,131.4064005
宮崎県宮崎市加納四丁目,124,78,31.875338,131.403659
宮崎県宮崎市北川内町,596,232,31.8994857,131.3896296
宮崎県宮崎市北権現町,651,308,31.9311722,131.4322811
宮崎県宮崎市北高松町,219,171,31.9170915,131.4168401
宮崎県宮崎市千草町,522,408,31.916408,131.419059
宮崎県宮崎市南原一丁目,200,63,31.8352834,131.2982672
宮崎県宮崎市南原三丁目,190,79,31.8314095,131.2977093
宮崎県宮崎市南原二丁目,480,179,31.8363362,131.294834
宮崎県宮崎市南方町,524,206,31.9623272,131.4244169
宮崎県宮崎市南町三丁目,24,14,31.8935664,131.4155731
宮崎県宮崎市南花ケ島町,1050,514,31.9417119,131.4297815
宮崎県宮崎市南高松町,281,197,31.914422,131.415426
宮崎県宮崎市原町,384,226,31.9238245,131.4221279
宮崎県宮崎市古城町,1009,354,31.890483,131.379279
宮崎県宮崎市吉村町中,3341,1409,,
宮崎県宮崎市吉村町北,3457,1468,,
宮崎県宮崎市吉村町南,2504,1230,,
宮崎県宮崎市吉村町東,4450,2051,,
宮崎県宮崎市吉村町西,2919,1343,31.9195677,131.4442304
宮崎県宮崎市吾妻町,1428,836,31.903836,131.432544
宮崎県宮崎市和知川原一丁目,946,440,31.923632,131.414804
宮崎県宮崎市和知川原三丁目,627,295,31.924388,131.407924
宮崎県宮崎市和知川原二丁目,581,297,31.923948,131.4122957
宮崎県宮崎市城ヶ崎一丁目,401,191,31.899004,131.427199
宮崎県宮崎市城ヶ崎三丁目,727,398,31.897311,131.431482
宮崎県宮崎市城ヶ崎二丁目,920,425,31.898291,131.4290847
宮崎県宮崎市城ヶ崎四丁目,751,376,31.8954661,131.4343625
宮崎県宮崎市堀川町,1309,856,31.9099097,131.4336678
宮崎県宮崎市大和町,331,193,31.91784,131.437144
宮崎県宮崎市大坪東一丁目,559,236,31.9030843,131.4091094
宮崎県宮崎市大坪東三丁目,739,321,31.8974346,131.4084636
宮崎県宮崎市大坪東二丁目,558,225,31.8994578,131.4081566
宮崎県宮崎市大坪町,376,206,31.905691,131.406577
宮崎県宮崎市大坪西一丁目,591,269,31.8978994,131.4051967
宮崎県宮崎市大坪西二丁目,642,283,31.8972806,131.4032222
宮崎県宮崎市大塚台東一丁目,784,360,31.91961,131.387097
宮崎県宮崎市大塚台東二丁目,358,156,31.912422,131.384488
宮崎県宮崎市大塚台西一丁目,1616,789,31.921608,131.38606
宮崎県宮崎市大塚台西三丁目,2073,1020,31.909623,131.382862
宮崎県宮崎市大塚台西二丁目,1285,605,31.9162037,131.3824686
宮崎県宮崎市大塚町上,3308,1404,31.9092987,131.4266458
宮崎県宮崎市大塚町下,4550,1954,40.3470923,116.6465913
宮崎県宮崎市大塚町中,4137,1869,36.3219577,139.2018597
宮崎県宮崎市大塚町北,1674,803,31.9121257,131.4189237
宮崎県宮崎市大塚町南,3590,1648,31.9089169,131.3930044
宮崎県宮崎市大字上北方,336,134,31.9572808,131.4063923
宮崎県宮崎市大字内海,826,435,31.7508661,131.4616491
宮崎県宮崎市大字加江田,1171,449,31.8132102,131.4277999
宮崎県宮崎市大字加納かのう台,579,239,,
宮崎県宮崎市大字加納ニュータウン飛鳥,616,249,,
宮崎県宮崎市大字加納ニュー池田台,646,260,,
宮崎県宮崎市大字加納上中野,224,140,,
宮崎県宮崎市大字加納上加納,552,230,,
宮崎県宮崎市大字加納下中野,221,88,,
宮崎県宮崎市大字加納下加納,2327,1102,,
宮崎県宮崎市大字加納加納ケ丘,1996,924,,
宮崎県宮崎市大字加納南加納,959,470,,
宮崎県宮崎市大字加納池田台二区,678,263,,
宮崎県宮崎市大字吉野,164,75,31.973456,131.335205
宮崎県宮崎市大字堤内,86,36,31.9727319,131.3474075
宮崎県宮崎市大字塩路,1130,452,31.9752454,131.4662862
宮崎県宮崎市大字大瀬町,1618,610,31.9773118,131.3821492
