1,ЧяШaВQФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,
2,Сж1Х\Б@ТjПЧХ РlМыЛyВ—РҐС—РФБ|КоЦ{ТPИ Лж,,,,,,,,,,,
3,,,,,,,,,1) БuРlМыПWТЖТnЛжХДНЖБvВЌБCБu01БvВ≈В†ВкВќРlМыПWТЖТnЛжБCБu51БvВ≈В†ВкВќПАРlМыПWТЖТnЛжВ≈В†ВйВ±В∆ВрХ\ВЈБBВ»В®БCОsЛжТђСЇУаВ…РlМыПWТЖТnЛжВвПАРlМыПWТЖТnЛжВ™Х°РФСґНЁВЈВйПкНЗВЌБCРlМыВћСеВЂВҐРlМыПWТЖТnЛжВ©ВзБC01БC02БcБiПАРlМыПWТЖТnЛжВЌ51БC52БcБjВ∆ХtЧ^ВµВƒВҐВйБB,,,
4,,,,,,,,,РlМы,РlМы,РlМы,РҐС—РФ
5,ОsЛжТђСЇГRБ[Гh,КоЦ{ТPИ ЛжФ‘НЖ,Т≤НЄЛжФ‘НЖ,УsУєХ{МІЦЉ,ОsЛжТђСЇЦЉ,СеОЪБEТђЦЉ,ОЪБEТЪЦЏЦЉ,РlМыПWТЖТnЛжХДНЖ,СНРФ,Тj,ПЧ,-
6,"45201","-","-","Л{НиМІ","Л{НиОs","","","",401339,189342,211997,184237
7,"45201","001001010","  44.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ИкТЪЦЏ","01",-,-,-,-
8,"45201","001001020","  39.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ИкТЪЦЏ","01",17,10,7,8
9,"45201","001001030","  39.1. 2","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ИкТЪЦЏ","01",17,7,10,14
10,"45201","001001040","  38.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ИкТЪЦЏ","01",100,34,66,56
11,"45201","001001050","  39.1. 3","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ИкТЪЦЏ","01",43,22,21,27
12,"45201","001001050","  40.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ИкТЪЦЏ","01",106,40,66,68
13,"45201","001002010","  36.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",8,3,5,4
14,"45201","001002020","  36.1. 2","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",36,19,17,26
