address,latitude,longitude,population,households,huff_1.0,huff_1.2,huff_1.5,huff_1.8,huff_2.0
宮崎県宮崎市,31.9076334,131.4204022,401339,184237,0.0819038881726019,0.09074953549722377,0.10154414698209827,0.1100158103983023,0.1146072584434948
宮崎県宮崎市あけぼの一丁目（南分団）,,,125,45,,,,,
宮崎県宮崎市あけぼの三丁目（南分団）,,,325,108,,,,,
宮崎県宮崎市あけぼの二丁目（南分団）,,,215,67,,,,,
宮崎県宮崎市あけぼの四丁目（南分団）,,,140,43,,,,,
宮崎県宮崎市あさひ一丁目,,,232,105,,,,,
宮崎県宮崎市あさひ二丁目,,,199,126,,,,,
宮崎県宮崎市まなび野一丁目,31.862992,131.420411,707,236,0.06233805844675958,0.0695844282550657,0.078553481156134,0.08528038979671293,0.08860433726391273
宮崎県宮崎市まなび野三丁目,31.858738,131.416124,162,66,0.059246154903091236,0.0659888437768493,0.07442950242440964,0.08091235462486862,0.08423947833742293
宮崎県宮崎市まなび野二丁目,31.8605357,131.4172577,978,360,0.06052277685621267,0.06748470203350582,0.07617974700756426,0.08283419243895068,0.086233723083425
宮崎県宮崎市一の宮町,31.9066207,131.4448151,572,291,0.07072632476757927,0.08366881918737779,0.10230987867823994,0.11988290851030765,0.13095348824517555
宮崎県宮崎市上倉永上倉（穆佐）,,,228,101,,,,,
宮崎県宮崎市上倉永内之八重（穆佐）,,,49,20,,,,,
宮崎県宮崎市上倉永柞木橋（穆佐）,,,72,30,,,,,
宮崎県宮崎市上倉永的野（穆佐）,,,231,98,,,,,
宮崎県宮崎市上田島,39.1994682,117.7697454,4536,1916,0.021385431712667484,0.021361689176773807,0.021326027634011757,0.021290309231766787,0.021266465612182848
宮崎県宮崎市上野町,31.9117635,131.4203664,386,243,0.07297345406236846,0.0846637382116136,0.1017177209323458,0.11854599007472923,0.12976076188399174
宮崎県宮崎市下倉永上倉（穆佐）,,,82,27,,,,,
宮崎県宮崎市下倉永下倉（穆佐）,,,247,107,,,,,
宮崎県宮崎市下倉永宮水流（穆佐）,,,386,174,,,,,
宮崎県宮崎市下倉永祇園台（穆佐）,,,899,342,,,,,
宮崎県宮崎市下北方町,31.946976,131.416748,8083,3594,0.06308077032728175,0.07002738378618854,0.07869770987385258,0.08554203497577575,0.09124229751511961
宮崎県宮崎市下原町,31.9224237,131.4335981,1224,631,0.1317171592564683,0.17374695187514794,0.24224680135801263,0.3129553698710026,0.3593485176917701
宮崎県宮崎市下富田,23.5718326,116.761606,21,9,0.021578830336906666,0.021592995069530756,0.02161370954150929,0.021633784049913778,0.021646811102447164
宮崎県宮崎市下田島（東）,38.911038,141.5450248,7293,2929,0.021324430516939316,0.021286471682915517,0.021228234668727294,0.021168446070114588,0.021127729090975562
宮崎県宮崎市下田島（西）,36.8543743,119.4624074,8048,3281,0.021388555832280196,0.021365420901130323,0.021330659799626145,0.021295828548861223,0.02127256890766575
宮崎県宮崎市下那珂,31.9972217,131.4593408,8173,3205,0.06994055555568841,0.10251085360318356,0.16542984152538398,0.23829362484100797,0.28659966971690126
宮崎県宮崎市中央通,31.9151927,131.4210792,29,19,0.08938790118281521,0.10724373121875252,0.13457201034685645,0.16237706575948518,0.18099749501923534
宮崎県宮崎市中村東一丁目,31.90231,131.419929,408,272,0.1113496122333721,0.1577922694286576,0.24515594106582525,0.350608412061459,0.4271841194367746
宮崎県宮崎市中村東三丁目,31.89567,131.417739,328,206,0.23326902869788763,0.26263370165375594,0.2909218237148351,0.3073655968924744,0.31441199340348014
宮崎県宮崎市中村東二丁目,31.899209,131.41922,309,183,0.12337864064975712,0.1369862688682116,0.17924637590301512,0.24006421667876526,0.2843343510401394
宮崎県宮崎市中村西一丁目,31.9024768,131.4182908,424,240,0.13490008776718876,0.19500570447443366,0.3073494368891168,0.4375736615386319,0.5266785771959746
宮崎県宮崎市中村西三丁目,31.8955276,131.4167362,266,168,0.20477008449388653,0.23280279579674024,0.2625640833660406,0.28239586122534827,0.2920334522718528
宮崎県宮崎市中村西二丁目,31.899664,131.417574,564,349,0.12322059876914401,0.17022510111917696,0.253360921291781,0.3487463432070439,0.41666072057203263
宮崎県宮崎市中津瀬町,31.9226367,131.4174035,1133,528,0.06623418318277512,0.07727694795947108,0.10179655121650255,0.12836723885313553,0.1469698548866003
宮崎県宮崎市中西町,31.9037665,131.4440534,1828,824,0.06071053205077377,0.07067152689053091,0.08497232285273502,0.09865871412429518,0.10750615917039484
宮崎県宮崎市丸山一丁目,31.926709,131.422666,633,354,0.1780160360801236,0.24116308525598928,0.3303558237336438,0.39819249063769796,0.4297669277151673
宮崎県宮崎市丸山二丁目,31.9292067,131.42342,1357,729,0.16104885515905623,0.21951030962278345,0.3066847229242915,0.37817994010116357,0.41356952857573437
宮崎県宮崎市丸島町,31.9210717,131.4267562,536,365,0.12606231900009576,0.15308684791053911,0.1894261025665839,0.21886075216138043,0.23445508797192108
宮崎県宮崎市乙,31.9079054,131.4210997,40,10,0.07874776713289999,0.08671149181215027,0.09621158494139698,0.10347271608532889,0.10732621058356363
宮崎県宮崎市乙七野（西分団）,,,266,92,,,,,
宮崎県宮崎市乙三角寺（北分団）,,,114,47,,,,,
宮崎県宮崎市乙上ノ原（西分団）,,,86,39,,,,,
宮崎県宮崎市乙上下鷺瀬（北分団）,,,167,69,,,,,
宮崎県宮崎市乙上学ノ木（中央分団）,,,52,28,,,,,
宮崎県宮崎市乙上屋敷（北分団）,,,129,50,,,,,
宮崎県宮崎市乙上桜町（中央分団）,,,83,36,,,,,
宮崎県宮崎市乙下学ノ木（中央分団）,,,128,60,,,,,
宮崎県宮崎市乙下屋敷（北分団）,,,194,84,,,,,
宮崎県宮崎市乙中原（中央分団）,,,178,94,,,,,
宮崎県宮崎市乙仮屋原（北分団）,,,102,45,,,,,
宮崎県宮崎市乙仲町（中央分団）,,,122,56,,,,,
宮崎県宮崎市乙元野（南分団）,,,40,17,,,,,
宮崎県宮崎市乙光町（北分団）,,,182,87,,,,,
宮崎県宮崎市乙八重（西分団）,,,80,36,,,,,
宮崎県宮崎市乙公園台（北分団）,,,130,54,,,,,
宮崎県宮崎市乙北桜町（北分団）,,,72,31,,,,,
宮崎県宮崎市乙合又（中央分団）,,,179,77,,,,,
宮崎県宮崎市乙向町（北分団）,,,92,39,,,,,
宮崎県宮崎市乙唐仁田（西分団）,,,5,4,,,,,
宮崎県宮崎市乙堀口（北分団）,,,48,24,,,,,
宮崎県宮崎市乙塩水（西分団）,,,32,12,,,,,
宮崎県宮崎市乙天神（西分団）,,,3,3,,,,,
宮崎県宮崎市乙日南学園（北分団）,,,74,5,,,,,
宮崎県宮崎市乙本町（中央分団）,,,39,21,,,,,
宮崎県宮崎市乙東桜町（北分団）,,,70,31,,,,,
宮崎県宮崎市乙松山（西分団）,,,162,38,,,,,
宮崎県宮崎市乙法光坊（北分団）,,,299,122,,,,,
宮崎県宮崎市乙灰ケ野（北分団）,,,53,22,,,,,
宮崎県宮崎市乙片井野（西分団）,,,171,65,,,,,
宮崎県宮崎市乙町光団地（北分団）,,,103,50,,,,,
宮崎県宮崎市乙白砂ケ尾（北分団）,,,12,4,,,,,
宮崎県宮崎市乙県光団地（北分団）,,,207,97,,,,,
宮崎県宮崎市乙稲荷町（中央分団）,,,72,28,,,,,
宮崎県宮崎市乙西桜団地（北分団）,,,59,25,,,,,
宮崎県宮崎市乙西桜町（北分団）,,,32,12,,,,,
宮崎県宮崎市乙野崎（西分団）,,,35,18,,,,,
宮崎県宮崎市乙鹿村野（北分団）,,,77,30,,,,,
宮崎県宮崎市五町中村（中央）,,,147,63,,,,,
宮崎県宮崎市五町五区（中央）,,,185,88,,,,,
宮崎県宮崎市五町井上（中央）,,,35,15,,,,,
宮崎県宮崎市五町南城寺（大字内山）,,,6,2,,,,,
宮崎県宮崎市五町原田（大字内山）,,,85,36,,,,,
宮崎県宮崎市五町去川（去川）,,,12,7,,,,,
宮崎県宮崎市五町押田（大字内山）,,,142,52,,,,,
宮崎県宮崎市五町東区（中央）,,,159,59,,,,,
宮崎県宮崎市五町片前（去川）,,,30,15,,,,,
宮崎県宮崎市五町田中（大字内山）,,,57,26,,,,,
宮崎県宮崎市五町町（中央）,,,200,88,,,,,
宮崎県宮崎市五町西区（中央）,,,109,56,,,,,
宮崎県宮崎市京塚一丁目,31.8981195,131.4128822,399,190,0.39396382367776694,0.4382197702680767,0.4727630374352324,0.487815685887989,0.49279613590274135
宮崎県宮崎市京塚二丁目,31.8974535,131.4110537,121,60,0.31719494301790535,0.3714193097489655,0.42625360890243275,0.4580886111427132,0.4712112000499031
宮崎県宮崎市京塚町,31.8962999,131.4127273,250,143,0.26944528582436233,0.317767344523722,0.37306704460284207,0.4117830959930849,0.4307830623051983
