address,population,households,latitude,longitude
宮崎県えびの市,17638,8050,32.0454996,130.8109782
宮崎県えびの市大字上江上上江,502,246,32.033122,130.849911
宮崎県えびの市大字上江中上江,240,108,32.028756,130.844875
宮崎県えびの市大字上江今西,99,37,,
宮崎県えびの市大字上江西上江,223,102,,
宮崎県えびの市大字上江駅前,26,13,,
宮崎県えびの市大字亀沢亀沢,158,53,32.0364293,130.7539987
宮崎県えびの市大字今西今西,149,64,32.0379243,130.8439146
宮崎県えびの市大字内竪中内竪,102,53,,
宮崎県えびの市大字内竪東内竪,131,72,,
宮崎県えびの市大字内竪溝ノ口,43,22,,
宮崎県えびの市大字内竪西内竪,68,30,,
宮崎県えびの市大字前田前田,224,92,32.0446693,130.8545617
宮崎県えびの市大字原田上原田,187,100,,
宮崎県えびの市大字原田中原田,471,213,,
宮崎県えびの市大字原田五日市,69,36,,
宮崎県えびの市大字原田南原田,830,352,,
宮崎県えびの市大字原田杉水流,16,9,,
宮崎県えびの市大字原田東原田,312,142,,
宮崎県えびの市大字原田片馬場,179,95,,
宮崎県えびの市大字原田町,770,363,,
宮崎県えびの市大字原田駅前,618,290,,
宮崎県えびの市大字原田麓,926,416,,
宮崎県えびの市大字向江上向江,300,150,,
宮崎県えびの市大字向江京町,926,450,32.0453249,130.7676343
宮崎県えびの市大字坂元前田,72,29,,
宮崎県えびの市大字坂元坂元,310,146,32.0769566,130.8485842
宮崎県えびの市大字坂元苧畑,127,54,,
宮崎県えびの市大字坂元高野,55,22,,
宮崎県えびの市大字大明司前田,55,24,,
宮崎県えびの市大字大明司大明司,428,206,32.0496063,130.8326582
宮崎県えびの市大字大明司山内,153,62,,
宮崎県えびの市大字大明司苧畑,36,16,,
宮崎県えびの市大字大河平上大河平,264,133,,
宮崎県えびの市大字大河平下大河平,398,203,,
宮崎県えびの市大字大河平堀浦,223,101,,
宮崎県えびの市大字大河平自衛隊,117,13,,
宮崎県えびの市大字小田中島,258,122,32.0508322,130.8121041
宮崎県えびの市大字小田前松原,225,103,,
宮崎県えびの市大字小田松原,103,60,32.0517644,130.8195599
宮崎県えびの市大字小田麓,269,116,,
宮崎県えびの市大字岡松北岡松,165,87,,
宮崎県えびの市大字岡松南岡松,392,159,,
宮崎県えびの市大字島内上島内,134,64,,
宮崎県えびの市大字島内下島内,444,204,,
宮崎県えびの市大字昌明寺北昌明寺,47,27,,
宮崎県えびの市大字昌明寺南昌明寺,208,85,,
宮崎県えびの市大字末永えびの高原東,1,1,,
宮崎県えびの市大字末永出水,157,73,,
宮崎県えびの市大字末永末永,177,78,32.0102685,130.8414773
宮崎県えびの市大字末永田代,218,98,,
