iter	RMSE
0	1869069.407
1	1436397.31
2	1121561.594
3	871365.9512
4	704829.9509
5	587775.0856
6	503862.0679
7	440240.3085
8	395084.5422
9	360541.1083
10	335530.0098
11	317271.0207
12	301865.6127
13	290524.4439
14	282032.0189
15	267827.9744
16	262478.1011
17	258272.5064
18	254685.9328
19	250915.4777
20	239869.4315
21	231266.8143
22	229189.4925
23	226364.1378
24	224482.5962
25	219382.7495
26	208729.1654
27	199607.3433
28	198910.4605
29	193384.5865
30	183112.5436
31	178505.4977
32	173974.7496
33	169537.3861
34	168175.4127
35	166742.2061
36	161038.9215
37	156941.2049
38	154095.4315
39	151459.6038
40	148492.8158
41	143813.9058
42	141003.7467
43	139532.4122
44	138904.828
45	137251.4368
46	134176.121
47	132858.3653
48	132169.7562
49	130466.5644
50	128338.3614
51	125964.1799
52	123828.7337
53	121809.296
54	119680.7418
55	116643.0406
56	115426.788
57	113072.1536
58	110600.0341
59	109083.0542
60	107019.0859
61	105705.0919
62	103957.5361
63	102627.9693
64	101766.2508
65	100129.5436
66	98395.74914
67	97087.98874
68	95410.00545
69	93715.98682
70	91642.97002
71	90743.10273
72	89150.38538
73	88279.48233
74	86487.86977
75	85058.0923
76	84032.19429
77	83093.79997
78	82137.81303
79	80749.35306
80	79767.36402
81	78684.05427
82	77368.4279
83	76019.78992
84	75147.88823
85	73952.00852
86	72204.96851
87	71065.54022
88	70381.92679
89	70273.54108
90	69221.10753
91	68712.38226
92	68106.49415
93	67743.39398
94	67322.15349
95	66461.38358
96	65529.58115
97	65110.32802
98	64374.25969
99	63792.74856
100	62040.55101
101	61404.36864
102	60917.10009
103	59949.25903
104	59287.02711
105	58661.60386
106	58272.54596
107	57236.45303
108	56381.77361
109	55889.61151
110	54915.34696
111	54387.93357
112	53768.31602
113	52851.5994
114	52074.89934
115	51064.97146
116	50776.25264
117	50405.03477
118	49768.7293
119	49080.94198
120	48685.84671
121	48432.24298
122	48085.46355
123	47441.22135
124	46770.58997
125	46340.97078
126	46012.93394
127	45869.20325
128	45523.60816
129	44844.54531
130	44513.5212
131	43950.23017
132	43487.70686
133	42609.92664
134	42197.55175
135	41698.16852
136	41624.44303
137	41035.46159
138	40997.4062
139	40548.61876
140	40025.94118
141	39466.47267
142	39319.85454
143	38816.66734
144	38196.66982
145	37921.88591
146	37617.93958
147	37361.72119
148	37343.18215
149	36897.91713
150	36475.93982
151	36008.18769
152	35876.57747
153	35794.21296
154	35558.20352
155	35550.65459
156	35151.94175
157	34752.17727
158	34689.46689
159	34530.91559
160	34136.32507
161	34123.1816
162	33694.04776
163	33661.93976
164	33592.07445
165	33355.4995
166	33074.00338
167	32780.27937
168	32688.88908
169	32188.32461
170	31622.62394
171	31465.84354
172	30827.86482
173	30562.01626
174	30144.42295
175	30053.69252
176	29686.31096
177	29458.38144
178	29066.56182
179	28786.26154
180	28444.50753
181	28159.41467
182	28019.09359
183	27740.96123
184	27503.13272
185	27392.45068
186	27029.95253
187	26826.82327
188	26735.29878
189	26715.48395
190	26467.96342
191	26095.2127
192	25717.45926
193	25383.77414
194	25334.22264
195	24966.23431
196	24705.51719
197	24453.33984
198	24361.90092
199	24206.51534
200	24051.41577
201	23923.88793
202	23778.3403
203	23426.27469
204	23349.72298
205	23248.33784
206	23172.43422
207	22993.91788
208	22761.39925
209	22490.26458
210	22370.19437
211	22170.81189
212	22003.72355
213	21781.66755
214	21624.00937
215	21503.35178
216	21366.24997
217	21274.06646
218	21054.38957
219	20851.2184
220	20634.35928
221	20556.13393
222	20289.93984
223	20160.73906
224	20029.58075
225	19926.22428
226	19667.32035
227	19402.38245
228	19303.90826
229	19289.65327
230	19208.25005
231	19054.59735
232	18976.08506
233	18924.17853
234	18719.99386
235	18513.718
236	18286.44325
237	18159.1504
238	17954.1368
239	17858.20871
240	17782.41228
241	17583.83629
242	17475.03873
243	17388.51469
244	17182.85958
245	17157.85702
246	17046.79317
247	16799.03026
248	16692.34856
249	16476.76806
250	16407.80647
251	16308.63364
252	16194.70597
253	16164.0136
254	16052.84125
255	15927.63356
256	15873.37027
257	15803.49983
258	15646.90342
259	15549.67458
260	15489.57079
261	15301.23742
262	15174.91538
263	15075.99113
264	15065.03582
265	15054.09928
266	14936.1942
267	14819.28784
268	14672.30088
269	14579.94019
270	14471.38024
271	14379.63124
272	14259.75419
273	14116.14263
274	14010.0331
275	13944.3523
276	13877.14427
277	13850.44721
278	13750.95535
279	13669.05043
280	13607.13791
281	13544.92752
282	13367.27842
283	13295.41684
284	13197.71431
285	13166.09047
286	13129.50654
287	13100.9897
288	13060.28159
289	12938.52591
290	12907.07016
291	12871.7683
292	12787.95763
293	12783.5387
294	12740.09103
295	12602.88592
296	12502.77955
297	12384.49334
298	12295.56026
299	12279.78618
300	12260.71821
301	12257.40648
302	12123.80638
303	12088.29242
304	11929.22233
305	11875.06174
306	11795.36073
307	11727.34707
308	11644.31924
309	11554.5192
310	11457.25141
311	11363.86581
312	11284.67559
313	11182.03934
314	11118.98805
315	11097.91039
316	11006.43503
317	10952.4986
318	10875.71476
319	10804.59408
320	10709.69308
321	10641.2954
322	10489.08185
323	10388.95811
324	10319.54744
325	10254.75766
326	10215.98191
327	10134.37133
328	10092.04959
329	10060.31291
330	10010.19861
331	9898.066536
332	9830.919552
333	9740.133099
334	9676.740687
335	9612.930831
336	9576.878187
337	9510.937824
338	9412.50497
339	9343.800088
340	9274.991852
341	9181.794686
342	9156.370239
343	9082.464095
344	9032.068184
345	8969.520064
346	8912.711668
347	8899.056786
348	8893.756455
349	8832.550292
350	8816.39089
351	8769.129928
352	8752.414997
353	8721.914017
354	8673.882404
355	8610.396755
356	8574.868898
357	8532.761283
358	8484.362289
359	8415.529316
360	8354.923824
361	8316.4421
362	8272.424245
363	8162.830611
364	8133.057565
365	8080.054117
366	8066.610801
367	8000.724966
368	7927.527152
369	7912.186466
370	7897.190169
371	7895.502646
372	7891.651657
373	7871.327829
374	7826.646965
375	7764.118173
376	7725.626623
377	7702.83074
378	7634.350197
379	7584.561765
380	7583.84458
381	7545.2022
382	7465.42965
383	7401.984282
384	7394.117315
385	7379.590017
386	7291.047834
387	7243.413889
388	7208.785974
389	7190.711496
390	7154.400085
391	7134.149229
392	7120.796329
393	7098.869119
394	7010.745327
395	6971.572408
396	6928.1116
397	6876.830251
398	6830.618256
399	6778.340165
400	6740.090498
401	6690.937291
402	6674.934088
403	6664.76011
404	6637.242572
405	6587.504921
406	6573.758813
407	6548.801638
408	6534.581989
409	6467.406242
410	6466.098709
411	6389.208656
412	6339.982899
413	6329.415174
414	6315.473468
415	6312.306545
416	6261.576972
417	6207.488154
418	6174.738374
419	6147.187893
420	6141.972595
421	6100.758338
422	6090.119817
423	6060.737512
424	6048.959006
425	6016.6453
426	5988.947837
427	5956.076716
428	5924.519546
429	5900.205421
430	5878.823576
431	5841.930887
432	5810.055904
433	5774.046431
434	5739.730435
435	5726.652496
436	5707.156613
437	5678.041715
438	5657.464473
439	5623.078161
440	5601.90711
441	5560.091659
442	5520.268579
443	5487.668932
444	5459.135359
445	5440.228101
446	5406.44961
447	5390.838496
448	5360.527109
449	5336.664767
450	5301.031534
451	5270.634186
452	5246.481643
453	5217.278305
454	5205.577651
455	5191.944823
456	5156.376675
457	5146.055738
458	5119.355273
459	5114.056186
460	5094.428536
461	5077.549332
462	5067.058255
463	5053.711229
464	5025.838949
465	5012.64299
466	5000.35503
467	4949.577427
468	4898.357952
469	4885.568967
470	4878.947807
471	4859.374604
472	4831.926143
473	4802.690528
474	4799.41947
475	4794.005057
476	4758.95863
477	4746.867879
478	4741.251087
479	4722.352101
480	4706.23995
481	4683.26167
482	4669.629109
483	4628.756937
484	4586.472491
485	4553.702489
486	4534.584604
487	4509.131253
488	4486.005619
489	4481.065762
490	4458.941348
491	4444.173912
492	4421.010948
493	4416.288108
494	4407.98701
495	4383.724441
496	4368.361869
497	4346.968524
498	4329.671161
499	4312.398922
500	4307.486652
501	4300.842944
502	4290.905121
503	4290.432789
504	4268.651678
505	4238.342796
506	4223.354503
507	4187.923725
508	4169.900133
509	4142.309739
510	4132.139243
511	4112.757556
512	4096.038397
513	4085.185564
514	4066.259014
515	4049.407904
516	4028.96311
517	4006.95022
518	3974.379665
519	3958.650567
520	3945.757447
521	3929.140047
522	3914.081384
523	3882.827354
524	3872.316596
525	3856.076126
526	3855.034809
527	3840.268533
528	3813.04771
529	3796.381706
530	3789.177784
531	3775.748441
532	3768.005669
533	3734.045183
534	3711.673997
535	3701.478189
536	3690.356118
537	3679.523293
538	3666.339336
539	3666.125195
540	3647.32111
541	3622.617528
542	3616.492427
543	3612.536436
544	3593.378971
545	3581.808579
546	3571.77233
547	3549.75461
548	3525.307116
549	3510.606493
550	3496.579745
551	3485.106986
552	3472.984147
553	3472.447479
554	3444.885238
555	3440.609282
556	3428.643994
557	3415.633035
558	3396.518402
559	3392.294613
560	3389.266401
561	3368.603817
562	3357.630428
563	3336.343147
564	3313.671786
565	3288.710005
566	3263.591796
567	3245.387557
568	3230.55475
569	3226.89164
570	3220.387647
571	3217.553559
572	3196.470149
573	3176.574792
574	3176.175374
575	3148.542231
576	3133.583738
577	3122.490315
578	3112.590819
579	3103.287498
580	3087.408613
581	3069.413459
582	3062.283495
583	3055.165993
584	3047.520889
585	3025.554985
586	3017.559819
587	3001.640508
588	2982.809387
589	2976.498036
590	2965.804739
591	2945.928256
592	2927.331898
593	2900.007436
594	2893.249912
595	2877.934446
596	2865.323227
597	2855.180314
598	2838.39245
599	2834.50208
600	2819.562782
601	2816.091182
602	2802.279943
603	2794.007271
604	2786.922089
605	2777.320539
606	2745.967846
607	2740.168043
608	2720.310613
609	2716.933775
610	2705.910821
611	2695.385463
612	2692.356679
613	2683.382812
614	2678.514258
615	2665.300344
616	2654.413248
617	2644.824074
618	2644.587637
619	2636.360794
620	2625.957017
621	2615.582822
622	2601.944031
623	2595.87333
624	2584.223933
625	2574.554582
626	2558.534947
627	2545.245673
628	2538.58093
629	2534.990839
630	2532.615386
631	2522.279635
632	2508.728677
633	2499.683523
634	2498.174949
635	2491.229719
636	2485.547902
637	2477.754384
638	2464.580606
639	2452.451422
640	2447.373577
641	2443.463287
642	2432.975879
643	2420.740391
644	2398.900022
645	2389.802352
646	2376.732769
647	2370.975492
648	2359.869548
649	2346.816486
650	2338.573827
651	2331.715278
652	2313.235112
653	2301.200504
654	2292.631646
655	2283.435253
656	2280.257104
657	2269.700037
658	2247.57902
659	2241.355832
660	2223.80613
661	2216.692861
662	2215.051271
663	2209.662796
664	2188.602541
665	2179.193154
666	2165.892377
667	2157.47894
668	2151.570345
669	2140.933598
670	2134.523687
671	2129.111979
672	2121.340135
673	2110.374295
674	2105.676628
675	2096.390079
676	2094.013874
677	2090.783765
678	2077.24539
679	2072.745495
680	2066.136345
681	2052.994007
682	2041.627185
683	2039.88061
684	2034.499928
685	2029.179222
686	2026.275825
687	2019.657208
688	2016.715334
689	2014.044157
690	2003.980603
691	1996.931479
692	1988.367509
693	1981.623664
694	1973.354605
695	1963.081006
696	1955.526882
697	1952.8354
698	1949.908393
699	1936.170701
700	1926.03206
701	1923.804273
702	1913.223572
703	1902.919152
704	1899.685315
705	1897.41847
706	1890.951998
707	1890.641453
708	1888.003508
709	1875.38484
710	1868.107245
711	1856.324522
712	1848.048579
713	1844.050668
714	1835.725863
715	1832.419415
716	1819.882161
717	1816.267034
718	1813.784573
719	1808.531222
720	1800.206398
721	1785.190163
722	1774.704938
723	1767.35425
724	1744.817112
725	1742.062646
726	1730.127812
727	1727.937301
728	1722.582719
729	1717.70364
730	1712.22785
731	1708.272327
732	1698.12272
733	1688.913401
734	1677.624004
735	1667.267686
736	1663.361153
737	1658.953355
738	1650.379736
739	1648.075175
740	1645.425419
741	1629.880751
742	1625.849209
743	1617.763891
744	1612.94904
745	1605.686323
746	1596.852342
747	1592.714094
748	1589.444689
749	1580.105893
750	1579.630944
751	1573.766791
752	1571.477357
753	1562.246036
754	1559.617889
755	1554.825137
756	1550.996132
757	1549.745329
758	1541.502844
759	1539.341676
760	1532.877095
761	1524.32007
762	1520.787946
763	1512.387599
764	1507.552914
765	1502.454509
766	1493.237942
767	1485.626789
768	1479.473873
769	1468.941761
770	1465.016062
771	1457.772744
772	1447.260255
773	1439.732197
774	1436.214873
775	1430.958299
776	1425.319308
777	1422.464996
778	1420.671608
779	1415.731185
780	1411.798802
781	1409.031855
782	1407.706167
783	1403.282992
784	1394.933162
785	1386.308989
786	1384.154729
787	1383.992035
788	1379.21542
789	1373.793308
790	1371.328661
791	1365.686592
792	1355.890108
793	1355.675189
794	1353.257652
795	1348.669823
796	1345.180019
797	1337.625794
798	1330.596936
799	1330.36905
800	1324.669414
801	1317.674407
802	1316.301715
803	1312.618089
804	1308.108125
805	1297.207895
806	1288.496401
807	1282.445278
808	1282.250799
809	1278.098734
810	1273.808739
811	1268.834455
812	1264.95836
813	1262.669634
814	1258.566163
815	1251.514149
816	1250.08038
817	1248.370075
818	1246.632597
819	1234.441519
820	1227.195575
821	1221.428097
822	1218.39511
823	1214.142824
824	1210.793691
825	1206.926776
826	1206.042582
827	1202.871034
828	1197.792681
829	1195.734449
830	1189.376031
831	1184.742495
832	1179.72829
833	1178.008582
834	1176.641455
835	1168.708839
836	1166.684296
837	1162.915289
838	1154.564992
839	1146.997238
840	1142.409097
841	1134.473462
842	1131.366984
843	1130.35587
844	1122.995904
845	1120.227855
846	1113.977227
847	1111.589133
848	1109.536174
849	1103.895341
850	1100.969196
851	1098.766616
852	1091.527903
853	1088.077724
854	1082.6577
855	1078.021065
856	1074.290182
857	1071.837719
858	1069.719698
859	1067.1304
860	1062.820843
861	1058.417097
862	1054.143659
863	1048.680367
864	1046.046229
865	1044.874183
866	1043.316728
867	1039.253097
868	1035.026754
869	1028.662041
870	1027.108862
871	1022.713078
872	1018.665534
873	1014.230765
874	1012.532039
875	1011.230312
876	1006.284662
877	1002.999848
878	1000.215765
879	997.3075376
880	991.9651669
881	986.7842355
882	983.078024
883	980.9698446
884	976.2118888
885	975.4593688
886	973.4314085
887	971.8588277
888	969.7588914
889	968.51679
890	965.0907852
891	962.9538294
892	959.7769921
893	957.0753485
894	953.3762781
895	952.449706
896	951.3484803
897	944.4016379
898	940.1821924
899	937.159256
900	932.5081555
901	929.2642328
902	922.1679554
903	919.943282
904	919.1401364
905	917.492484
906	915.5264655
907	913.2309457
908	910.4975347
909	904.4567872
910	899.8862024
911	895.8072273
912	893.2297565
913	889.3486299
914	885.7707432
915	884.0236921
916	881.0511137
917	880.2834236
918	877.9806952
919	875.5142341
920	873.3882981
921	871.349214
922	866.2519525
923	862.1351348
