iter	Passed	Remaining
0	171	342123
1	202	202676
2	232	154506
3	257	128553
4	286	114384
5	315	104865
6	345	98456
7	374	93339
8	404	89487
9	434	86390
10	463	83878
11	488	80967
12	518	79239
13	547	77710
14	577	76359
15	605	75130
16	635	74080
17	663	73073
18	692	72155
19	721	71429
20	750	70726
21	778	70000
22	807	69446
23	836	68879
24	865	68357
25	894	67929
26	923	67466
27	951	67034
28	982	66752
29	1010	66385
30	1039	66034
31	1067	65675
32	1096	65366
33	1128	65272
34	1157	65011
35	1187	64771
36	1217	64590
37	1245	64330
38	1274	64106
39	1303	63879
40	1332	63664
41	1361	63484
42	1390	63275
43	1420	63133
44	1447	62901
45	1477	62753
46	1507	62630
47	1545	62830
48	1573	62666
49	1602	62507
50	1631	62332
51	1660	62223
52	1689	62074
53	1718	61938
54	1748	61823
55	1778	61744
56	1810	61701
57	1841	61657
58	1873	61643
59	1904	61581
60	1936	61563
61	1968	61540
62	2004	61635
63	2038	61676
64	2080	61922
65	2117	62040
66	2157	62234
67	2194	62352
68	2232	62490
69	2276	62760
70	2324	63143
71	2368	63425
72	2413	63709
73	2458	63999
74	2503	64263
75	2554	64658
76	2605	65062
77	2648	65261
78	2702	65726
79	2760	66253
80	2810	66584
81	2859	66893
82	2903	67061
83	2961	67550
84	3017	67981
85	3061	68142
86	3103	68236
87	3142	68282
88	3180	68290
89	3221	68377
90	3270	68599
91	3310	68656
92	3350	68706
93	3394	68834
94	3439	68966
95	3484	69111
96	3527	69212
97	3581	69519
98	3632	69744
99	3675	69835
100	3717	69891
101	3755	69887
102	3792	69843
103	3831	69855
104	3871	69870
105	3906	69801
106	3943	69773
107	3982	69768
108	4018	69721
109	4057	69711
110	4093	69668
111	4131	69641
112	4168	69606
113	4215	69735
114	4262	69866
115	4308	69978
116	4353	70061
117	4397	70140
118	4442	70220
119	4485	70278
120	4525	70283
121	4563	70253
122	4600	70197
123	4637	70155
124	4675	70127
125	4714	70112
126	4750	70059
127	4784	69975
128	4821	69933
129	4857	69877
130	4892	69807
131	4933	69823
132	4971	69787
133	5005	69703
134	5041	69651
135	5078	69599
136	5114	69548
137	5151	69508
138	5195	69566
139	5242	69651
140	5277	69575
141	5313	69530
142	5358	69583
143	5399	69595
144	5441	69612
145	5488	69695
146	5529	69697
147	5563	69614
148	5603	69607
149	5647	69647
150	5686	69633
151	5739	69776
152	5784	69830
153	5824	69823
154	5862	69781
155	5897	69709
156	5933	69651
157	5967	69573
158	6008	69565
159	6043	69504
160	6077	69424
161	6114	69375
162	6149	69304
163	6184	69239
164	6221	69190
165	6256	69124
166	6300	69150
167	6336	69099
168	6372	69046
169	6412	69030
170	6450	68998
171	6485	68927
172	6523	68894
173	6563	68874
174	6600	68829
175	6635	68766
176	6670	68704
177	6706	68644
178	6741	68586
179	6778	68543
180	6813	68476
181	6849	68422
182	6883	68350
183	6923	68331
184	6962	68308
185	7000	68269
186	7036	68218
187	7072	68165
188	7106	68091
189	7149	68109
190	7185	68052
191	7229	68081
192	7269	68066
193	7309	68042
194	7345	67995
195	7382	67949
196	7420	67910
197	7460	67894
198	7496	67846
199	7532	67792
200	7568	67741
201	7604	67687
202	7649	67715
203	7692	67725
204	7729	67683
205	7765	67625
206	7801	67572
207	7839	67537
208	7878	67514
209	7918	67499
210	7960	67490
211	8002	67494
212	8039	67451
213	8074	67386
214	8110	67333
215	8149	67306
216	8183	67242
217	8224	67232
218	8263	67198
219	8306	67209
220	8344	67169
221	8387	67178
222	8428	67166
223	8463	67107
224	8498	67041
225	8533	66981
226	8570	66944
227	8606	66886
228	8641	66830
229	8676	66774
230	8719	66774
231	8762	66777
232	8798	66726
233	8838	66705
234	8875	66661
235	8915	66636
236	8949	66573
237	8985	66519
238	9020	66464
239	9054	66399
240	9094	66378
241	9130	66324
242	9165	66271
243	9201	66217
244	9236	66164
245	9276	66142
246	9316	66121
247	9351	66064
248	9387	66011
249	9428	65996
250	9463	65940
251	9501	65909
252	9540	65875
253	9577	65834
254	9614	65794
255	9648	65731
256	9697	65770
257	9735	65733
258	9770	65675
259	9808	65640
260	9844	65590
261	9878	65532
262	9913	65476
263	9956	65468
264	9991	65413
265	10037	65432
266	10080	65429
267	10121	65412
268	10155	65351
269	10194	65320
270	10229	65265
271	10267	65230
272	10303	65179
273	10338	65125
274	10373	65073
275	10412	65038
276	10447	64988
277	10487	64961
278	10538	65006
279	10583	65012
280	10627	65013
281	10674	65030
282	10709	64973
283	10747	64936
284	10784	64893
285	10821	64852
286	10857	64807
287	10892	64747
288	10933	64732
289	10969	64683
290	11007	64646
291	11043	64596
292	11077	64538
293	11118	64515
294	11157	64485
295	11196	64457
296	11231	64401
297	11275	64398
298	11310	64346
299	11350	64321
300	11389	64286
301	11425	64242
302	11462	64199
303	11497	64145
304	11533	64098
305	11570	64053
306	11610	64029
307	11645	63972
308	11687	63958
309	11736	63985
310	11774	63944
311	11812	63907
312	11848	63860
313	11883	63807
314	11922	63774
315	11955	63714
316	11994	63681
317	12031	63640
318	12066	63585
319	12100	63529
320	12139	63496
321	12176	63453
322	12211	63401
323	12248	63358
324	12283	63309
325	12319	63261
326	12354	63210
327	12397	63198
328	12443	63200
329	12480	63157
330	12516	63112
331	12554	63072
332	12590	63026
333	12626	62979
334	12670	62975
335	12717	62981
336	12758	62960
337	12795	62916
338	12830	62867
339	12866	62818
340	12911	62817
341	12947	62768
