日付,曜日,時刻,客数,datetime
2025-01-01,水,10:00,4.0,2025-01-01 10:00:00
2025-01-02,木,10:00,0.0,2025-01-02 10:00:00
2025-01-03,金,10:00,0.0,2025-01-03 10:00:00
2025-01-04,土,10:00,0.0,2025-01-04 10:00:00
2025-01-05,日,10:00,0.0,2025-01-05 10:00:00
2025-01-06,月,10:00,0.0,2025-01-06 10:00:00
2025-01-07,火,10:00,0.0,2025-01-07 10:00:00
2025-01-09,木,10:00,0.0,2025-01-09 10:00:00
2025-01-10,金,10:00,0.0,2025-01-10 10:00:00
2025-01-11,土,10:00,0.0,2025-01-11 10:00:00
2025-01-12,日,10:00,0.0,2025-01-12 10:00:00
2025-01-13,月,10:00,0.0,2025-01-13 10:00:00
2025-01-14,火,10:00,0.0,2025-01-14 10:00:00
2025-01-15,水,10:00,0.0,2025-01-15 10:00:00
2025-01-16,木,10:00,0.0,2025-01-16 10:00:00
2025-01-17,金,10:00,0.0,2025-01-17 10:00:00
2025-01-18,土,10:00,0.0,2025-01-18 10:00:00
2025-01-19,日,10:00,0.0,2025-01-19 10:00:00
2025-01-20,月,10:00,0.0,2025-01-20 10:00:00
2025-01-22,水,10:00,0.0,2025-01-22 10:00:00
2025-01-23,木,10:00,0.0,2025-01-23 10:00:00
2025-01-24,金,10:00,0.0,2025-01-24 10:00:00
2025-01-25,土,10:00,0.0,2025-01-25 10:00:00
2025-01-26,日,10:00,0.0,2025-01-26 10:00:00
2025-01-27,月,10:00,0.0,2025-01-27 10:00:00
2025-01-28,火,10:00,0.0,2025-01-28 10:00:00
2025-01-29,水,10:00,0.0,2025-01-29 10:00:00
2025-01-30,木,10:00,0.0,2025-01-30 10:00:00
2025-01-31,金,10:00,0.0,2025-01-31 10:00:00
2025-02-01,土,10:00,1.0,2025-02-01 10:00:00
2025-02-02,日,10:00,0.0,2025-02-02 10:00:00
2025-02-03,月,10:00,0.0,2025-02-03 10:00:00
2025-02-04,火,10:00,0.0,2025-02-04 10:00:00
2025-02-06,木,10:00,0.0,2025-02-06 10:00:00
2025-02-07,金,10:00,0.0,2025-02-07 10:00:00
2025-02-08,土,10:00,0.0,2025-02-08 10:00:00
2025-02-09,日,10:00,0.0,2025-02-09 10:00:00
2025-02-10,月,10:00,0.0,2025-02-10 10:00:00
2025-02-11,火,10:00,0.0,2025-02-11 10:00:00
2025-02-12,水,10:00,0.0,2025-02-12 10:00:00
2025-02-13,木,10:00,0.0,2025-02-13 10:00:00
2025-02-14,金,10:00,0.0,2025-02-14 10:00:00
2025-02-15,土,10:00,0.0,2025-02-15 10:00:00
2025-02-16,日,10:00,0.0,2025-02-16 10:00:00
2025-02-17,月,10:00,0.0,2025-02-17 10:00:00
2025-02-19,水,10:00,0.0,2025-02-19 10:00:00
2025-02-20,木,10:00,0.0,2025-02-20 10:00:00
2025-02-21,金,10:00,0.0,2025-02-21 10:00:00
2025-02-22,土,10:00,0.0,2025-02-22 10:00:00
2025-02-23,日,10:00,0.0,2025-02-23 10:00:00
2025-02-24,月,10:00,0.0,2025-02-24 10:00:00
2025-02-25,火,10:00,0.0,2025-02-25 10:00:00
2025-02-26,水,10:00,0.0,2025-02-26 10:00:00
2025-02-27,木,10:00,0.0,2025-02-27 10:00:00
2025-02-28,金,10:00,0.0,2025-02-28 10:00:00
2025-03-01,土,10:00,0.0,2025-03-01 10:00:00
2025-03-02,日,10:00,0.0,2025-03-02 10:00:00
2025-03-03,月,10:00,0.0,2025-03-03 10:00:00
2025-03-04,火,10:00,1.0,2025-03-04 10:00:00
2025-03-06,木,10:00,0.0,2025-03-06 10:00:00
2025-03-07,金,10:00,0.0,2025-03-07 10:00:00
2025-03-08,土,10:00,0.0,2025-03-08 10:00:00
2025-03-09,日,10:00,0.0,2025-03-09 10:00:00
2025-03-10,月,10:00,0.0,2025-03-10 10:00:00
2025-03-11,火,10:00,0.0,2025-03-11 10:00:00
2025-03-12,水,10:00,0.0,2025-03-12 10:00:00
2025-03-13,木,10:00,0.0,2025-03-13 10:00:00
