ì˙ït,ójì˙_x,ë‰îÑè„çáåv,ë‰îÑè„,ë‰ëeóòçáåv,ë‰ëeóò,ë≈çû,ëçë≈çû,óòâvó¶,óLå¯S,ì¸è‹S1,BA,MY,èoã ó¶,ãqëÿó¶,ã íPâø,ã óò,äÑêî,èüó¶,åiïiäzïΩãœ,ë‰êî,å≥ÉtÉ@ÉCÉã,ójì˙_y,ïΩãœãCâ∑,ç≈çÇãCâ∑,ç≈í·ãCâ∑,ì˙è∆éûä‘(éûä‘),ïΩãœåªínãCà≥(hPa),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s).2,ïΩãœïóë¨(m/s),ç~êÖó 
2023/1/1,ì˙,9611100,17798,2586629,4790,18161,9806880,0.2691,5.49,5.76,85.05,10261,0.9251,1.6105,0.98,0.264,8.13,0.3463,14468,540,2023,ì˙,8.3,14.9,2.5,9.6,1025.2,6.5,êº,3.2,0
2023/1/2,åé,13446000,24900,3524854,6528,25425,13729590,0.2621,5.48,5.73,85.49,12672,0.9346,1.6451,0.979,0.257,8.31,0.3778,20693,540,2023,åé,9.2,15,5.4,7,1023.4,5.2,êº,2.9,0
2023/1/3,âŒ,14238200,26367,3678123,6811,27194,14684670,0.2583,5.52,5.79,85.37,13516,0.9373,1.6513,0.97,0.25,8.37,0.4093,22080,540,2023,âŒ,7.7,13.4,3.7,9.2,1022.7,6.1,êº,3.3,0
2023/1/4,êÖ,13139000,24331,2104107,3896,24718,13347670,0.1601,5.52,5.8,84.84,13021,0.9562,1.5816,0.984,0.158,8.91,0.4167,21673,540,2023,êÖ,7.5,14.5,1,9.8,1024.7,6.6,êº,3.2,0
2023/1/5,ñÿ,9496900,17587,759677,1407,19647,10609330,0.08,5.57,5.82,84.71,10391,0.9738,1.5686,0.895,0.072,9.34,0.4111,16424,540,2023,ñÿ,6.1,12.7,-0.2,9.4,1026.7,4.7,ìåìÏìå,2.6,0
2023/1/6,ã‡,10310000,19093,2547649,4718,20482,11060180,0.2471,5.53,5.79,85.15,10692,0.947,1.5496,0.932,0.23,8.69,0.3759,16590,540,2023,ã‡,7.4,14.5,0.8,5,1021.5,5.6,êºìÏêº,2.9,0
2023/1/7,ìy,11938300,22108,3171435,5873,24427,13190360,0.2657,5.55,5.8,85.21,11904,0.9374,1.6436,0.905,0.24,8.36,0.3648,18480,540,2023,ìy,9,13.6,4.3,7.9,1015.6,9.2,êºñkêº,5,0
2023/1/8,ì˙,11792900,21839,3205440,5936,25802,13933180,0.2718,5.57,5.84,85.26,12046,0.9304,1.6797,0.846,0.23,8.14,0.3519,17779,540,2023,ì˙,6.4,13.9,0.1,9.4,1022.4,5.5,ìåìÏìå,2.7,0
2023/1/9,åé,11582000,21448,3483267,6450,23328,12597060,0.3007,5.58,5.84,85.34,11564,0.9183,1.586,0.919,0.277,7.95,0.3481,17056,540,2023,åé,9.9,18.9,1.9,9.4,1021.1,7.3,êºìÏêº,3.9,0
2023/1/10,âŒ,11574600,21434,1828581,3386,22438,12116710,0.158,5.61,5.89,85.35,11262,0.9464,1.5179,0.955,0.151,8.7,0.3981,18643,540,2023,âŒ,9.9,14.6,4.3,9.5,1022.8,6.2,ìåñkìå,3.2,0
