iter	RMSE
0	3615726.261
1	2841933.381
2	2269441.75
3	1835212.16
4	1533995.22
5	1263437.475
6	1058203.262
7	917848.1588
8	817919.4933
9	752746.288
10	694382.5125
11	649568.1323
12	612160.9538
13	575505.3803
14	543525.0932
15	522672.0642
16	508285.973
17	476404.9296
18	465623.558
19	453472.8938
20	442328.227
21	422107.3951
22	410659.9342
23	401718.1465
24	385664.6628
25	373553.6681
26	368819.4043
27	356832.7656
28	353716.5188
29	340852.3644
30	330725.5754
31	314128.5993
32	310736.154
33	299164.1578
34	290350.0819
35	287035.5722
36	276951.1234
37	270839.4772
38	266356.5764
39	258800.4131
40	254392.8537
41	250418.08
42	241956.695
43	232789.6402
44	231395.1411
45	228003.3288
46	221232.2024
47	216359.4067
48	209494.7882
49	204780.5597
50	200877.1271
51	193301.9099
52	186802.265
53	180908.6342
54	176547.9991
55	176000.5418
56	171047.4252
57	166034.8264
58	163308.0803
59	158442.8045
60	155745.7512
61	152333.5968
62	148492.8608
63	145100.0715
64	141976.7524
65	137278.5796
66	132850.8954
67	132430.2045
68	130389.5593
69	128306.5883
70	124989.1757
71	122103.1645
72	118868.1478
73	116722.0207
74	116201.9505
75	113225.2838
76	110980.2835
77	109450.8136
78	106995.6741
79	104537.9168
80	102371.3581
81	100169.0756
82	99689.22072
83	97393.47347
84	95872.79341
85	93990.41074
86	93761.66452
87	92070.8043
88	89918.19267
89	89715.53088
90	88033.96013
91	87901.60611
92	86488.22217
93	84816.29755
94	83416.84123
95	82392.89141
96	82051.75932
97	80096.68391
98	79679.84182
99	78049.79419
100	76528.70245
101	75102.03807
102	74881.29741
103	74088.8053
104	73054.31317
105	72113.84425
106	71150.70907
107	69674.93265
108	69461.33353
109	67696.96377
110	66911.74444
111	65423.36795
112	65310.93785
113	64481.25251
114	63858.01809
115	62955.37283
116	61823.43042
117	60707.01153
118	59981.72859
119	59874.66536
120	59779.79602
121	58726.15095
122	57941.35926
123	56918.59145
124	56658.15909
125	55831.65814
126	54528.97565
127	53940.11831
128	53183.83791
129	52318.97661
130	51751.3833
131	50873.6189
132	49979.57104
133	49084.0957
134	48307.59667
135	47080.65614
136	46156.00147
137	45655.47489
138	45205.83504
139	44258.73882
140	44159.97724
141	43427.17263
142	42877.21609
143	42723.58394
144	42631.93697
145	42072.05192
146	41206.34159
147	40345.12659
148	39697.014
149	39176.00495
150	38310.69707
151	37847.30714
152	37220.59895
153	36685.28775
154	36284.27097
155	35723.10719
156	35079.38341
157	34880.43813
158	34124.20831
159	33531.95433
160	33097.07976
161	32412.46723
162	31629.24249
163	31265.91766
164	30874.6239
165	30496.78717
166	29799.32856
167	29434.42745
168	28842.11576
169	28695.76828
170	28371.21
171	28133.63384
172	27553.19272
173	27330.18513
174	26967.63894
175	26778.80003
176	26565.67934
177	26297.51636
178	25957.97393
179	25407.01915
180	25152.6091
181	25051.99235
182	24744.01469
183	24195.81301
184	23911.56493
185	23587.21861
186	23397.68626
187	23098.80027
188	22944.88439
189	22872.58461
190	22479.14154
191	22300.56451
192	21965.42808
193	21459.27279
194	21199.54763
195	21191.81744
196	20714.46907
197	20675.53054
198	20657.04542
199	20379.75213
200	20103.43228
201	19739.0217
202	19612.40693
203	19462.7764
204	19092.08919
205	18930.50426
206	18645.78206
207	18322.39203
208	18188.22842
209	18007.92859
210	17739.00164
211	17463.43814
212	17219.67185
213	17140.35352
214	16821.11463
215	16498.0472
216	16193.27127
217	15999.34745
218	15867.8874
219	15735.37201
220	15614.15916
221	15456.07871
222	15294.09438
223	14960.40322
224	14864.36939
225	14687.99584
226	14467.10307
227	14110.94131
228	13881.27506
229	13656.17392
230	13581.891
231	13442.5167
232	13418.85124
233	13179.44005
234	13031.18477
235	13009.80738
236	12851.54587
237	12663.40376
238	12560.78036
239	12437.95632
240	12426.65497
241	12411.08549
242	12294.31966
243	12190.75422
244	12099.54077
245	11961.24336
246	11656.65476
247	11600.12354
248	11406.94622
249	11243.61181
250	11174.57725
251	11031.19394
252	10929.45681
253	10894.14692
254	10798.72935
255	10709.3344
256	10644.35718
257	10530.2551
258	10424.52927
259	10309.94691
260	10237.71044
261	10115.26812
262	10022.8731
263	9878.170351
264	9787.734708
265	9713.924118
266	9602.155558
267	9453.116051
268	9392.37459
269	9288.059883
270	9168.931782
271	9011.209456
272	8858.42941
273	8819.256193
274	8681.900659
275	8598.878621
276	8470.894416
277	8438.17455
278	8329.962736
279	8225.01236
280	8095.177142
281	7963.641323
282	7889.496549
283	7791.357031
284	7667.292599
285	7575.109616
286	7454.527389
287	7379.98661
288	7269.670982
289	7232.586763
290	7181.080346
291	7168.005549
292	7069.382264
293	6991.845143
294	6901.54428
295	6885.453385
296	6784.086902
297	6741.873781
298	6695.261728
299	6588.760238
300	6539.75975
301	6505.233546
302	6416.274483
303	6327.904522
304	6271.278933
305	6219.704624
306	6167.698937
307	6080.933326
308	6020.883812
309	5964.409233
310	5906.314983
311	5878.764486
312	5874.306157
313	5792.270421
314	5740.796206
315	5738.548075
316	5712.941066
317	5684.012951
318	5587.785628
319	5548.899621
320	5525.316686
321	5462.018291
322	5377.964817
323	5328.377683
324	5316.09128
325	5261.010419
326	5233.058644
327	5229.294281
328	5164.298778
329	5130.232468
330	5078.837903
331	5046.678848
332	4995.983399
333	4899.349224
334	4870.074584
335	4838.823366
336	4790.631457
337	4762.524271
338	4677.729154
339	4643.941017
340	4603.168777
341	4559.854658
342	4528.860285
343	4507.110645
344	4504.642029
345	4465.129162
346	4432.384296
347	4377.738017
348	4333.815094
349	4266.577082
350	4247.054084
351	4243.509944
352	4203.437138
353	4183.510184
354	4179.986972
355	4155.049016
356	4122.438739
357	4084.931674
358	4073.860961
359	4050.930204
360	4024.951741
361	3989.374229
362	3980.07006
363	3949.897813
364	3916.610806
365	3862.816595
366	3812.327056
367	3790.933521
368	3743.221631
369	3692.382938
370	3669.879846
371	3630.15517
372	3588.926611
373	3584.120388
374	3561.125447
375	3541.387512
376	3515.014488
377	3512.10589
378	3510.168835
379	3508.727226
380	3493.296731
381	3472.069704
382	3449.072028
383	3432.403038
384	3421.631342
385	3400.245488
386	3398.001228
387	3395.931082
388	3355.859627
389	3321.88848
390	3300.230991
391	3240.060799
392	3207.999154
393	3200.47084
394	3166.464679
395	3140.7024
396	3134.151455
397	3111.033799
398	3096.669055
399	3092.231245
400	3040.963608
401	3009.835629
402	2973.583264
403	2971.930838
404	2961.705956
405	2946.138823
406	2928.08439
407	2911.904504
408	2892.958766
409	2891.765783
410	2847.386091
411	2809.436659
412	2777.686752
413	2761.03054
414	2727.101261
415	2684.44953
416	2654.275728
417	2631.139149
418	2624.015487
419	2580.953601
420	2576.257248
421	2555.740917
422	2537.331931
423	2514.550124
424	2501.318259
425	2483.279383
426	2470.073181
427	2452.746781
428	2451.478777
429	2449.121362
430	2448.135
431	2414.94113
432	2401.591221
433	2399.534686
434	2383.323609
435	2366.331955
436	2305.565607
437	2303.297613
438	2288.948552
439	2267.3103
440	2242.416404
441	2228.890029
442	2209.411536
443	2201.088632
444	2175.489626
445	2145.135806
446	2144.115044
447	2126.17347
448	2118.22812
449	2114.74875
450	2087.339814
451	2061.451246
452	2022.526371
453	2013.760178
454	1995.292105
455	1979.732784
456	1959.780867
457	1931.047279
458	1923.838812
459	1907.228818
460	1884.368155
461	1867.732964
462	1858.074217
463	1833.142041
464	1794.122682
465	1784.751612
466	1770.982452
467	1758.985807
468	1740.208543
469	1727.350489
470	1726.458631
471	1719.919723
472	1709.969687
473	1700.946187
474	1695.867878
475	1682.264844
476	1669.67164
477	1668.161294
478	1660.396708
479	1655.394092
480	1642.882384
481	1638.231418
482	1625.14853
483	1613.305836
484	1600.64728
485	1592.416867
486	1590.045496
487	1578.671367
488	1566.848546
489	1558.692847
490	1547.948013
491	1547.469772
492	1534.339016
493	1520.843902
494	1514.857759
495	1501.918142
496	1495.908483
497	1495.554294
498	1482.563945
499	1472.369752
500	1469.923911
501	1461.518361
502	1449.3782
503	1439.031197
504	1433.623428
505	1425.206767
506	1417.213131
507	1393.29466
508	1375.160096
509	1362.221226
510	1337.144491
511	1324.353557
512	1312.518781
513	1306.566651
514	1297.818622
515	1290.400696
516	1287.976801
517	1281.775918
518	1279.683954
519	1278.650441
520	1256.430579
521	1246.923604
522	1236.116879
523	1226.989183
524	1216.112722
525	1209.303114
526	1207.958842
527	1203.822171
528	1200.527408
529	1191.598244
530	1188.550434
531	1183.848707
532	1174.13162
533	1166.877856
534	1158.257475
535	1157.82181
536	1146.317253
537	1143.734571
538	1139.721004
539	1134.103387
540	1120.672352
541	1120.573054
542	1119.417806
543	1118.849854
544	1114.40668
545	1111.63096
546	1111.313438
547	1105.716096
548	1102.883581
549	1098.712843
550	1088.897577
551	1074.912045
552	1072.459206
553	1067.424316
554	1061.529831
555	1058.560208
556	1053.969116
557	1047.472241
558	1046.296348
559	1037.849975
560	1029.644458
561	1021.473671
562	1015.254664
563	1004.623727
564	998.8037785
565	991.076594
566	985.6959303
567	973.1744512
568	966.5357774
569	955.0158416
570	945.8416373
571	944.7365832
572	939.6444004
573	933.2419187
574	924.504462
575	923.4063943
576	919.4650339
577	916.3635977
578	913.1320878
579	910.9723174
580	902.2690821
581	893.9010736
582	891.5317962
583	888.3005147
584	880.2026305
585	873.9262364
586	865.9025967
587	860.2607952
588	858.7178423
589	852.7245531
590	847.2082726
591	836.9395341
592	833.7026671
593	827.1870209
594	824.7179153
595	818.5048367
596	812.9690268
597	809.5963541
598	807.9417062
599	803.021959
600	798.5845501
601	796.8606655
602	791.5269141
603	791.0941497
604	789.1944173
605	784.8738198
606	784.7184808
607	781.9185782
608	778.7159325
609	776.7768961
610	773.4030662
611	770.4639815
612	769.6370817
613	764.0635322
614	762.5077043
615	757.2963569
616	753.0061607
617	751.521102
618	748.6002726
619	744.94802
620	739.206603
621	734.3359718
622	731.7500346
623	725.0303084
624	719.6103239
625	719.3152582
626	716.280145
627	709.8153396
628	707.013253
629	703.2938919
630	697.2095307
631	692.909196
632	690.135537
633	680.2781655
634	670.47399
635	669.8599371
636	663.908411
637	661.3341493
638	657.1777903
639	656.2816727
640	651.2766434
641	650.6175894
642	645.0233526
643	638.5261917
644	633.3593874
645	629.9931696
646	628.1923391
647	626.6249604
648	624.6416206
649	620.6925032
650	619.1775018
651	612.9970376
652	603.4875424
653	601.733305
654	601.3232919
655	600.4562043
656	600.063525
657	599.077081
658	598.481729
659	591.1747731
660	587.5355091
661	579.9247798
662	574.0510642
663	570.2466947
664	566.9389037
665	563.9342076
666	557.9012096
667	553.7979302
668	550.2925118
669	547.6367702
670	545.5130961
671	543.752171
672	540.1476677
673	537.4926753
674	535.2232631
675	533.5091645
676	533.4142647
677	532.2508355
678	529.1384627
679	522.5662943
680	517.9581403
681	517.4722828
682	513.8127279
683	510.8664732
684	509.5447746
685	507.4640159
686	506.739255
687	503.17508
688	495.5654913
689	493.9800673
690	490.1401766
691	480.8269349
692	478.8025525
693	477.523422
694	473.3661441
695	468.0810145
696	467.6668523
697	463.9726387
698	461.2085638
699	457.5119775
700	456.3257332
701	454.1046645
702	450.4451526
703	444.1549666
704	442.1032263
705	439.1398465
706	437.3954829
707	436.6668323
708	436.2862156
709	434.0763336
710	432.2951761
711	427.6705062
712	423.4586956
713	419.9237782
714	415.9517326
715	413.1700286
716	407.2098825
717	404.9185575
718	404.3557844
719	402.8732848
720	402.2473754
721	399.4664456
722	397.2554406
723	393.6316249
724	390.9317623
725	390.5556191
726	386.7965792
727	386.0849921
728	385.7366103
729	385.0972591
730	384.5545487
731	383.6942125
732	382.6788687
733	379.0433057
734	375.8289355
735	374.8014423
736	371.2171231
737	369.8151556
738	366.842487
739	365.8392306
740	362.7582535
741	361.9633627
742	361.294293
743	358.635707
744	358.3622968
745	354.4132445
746	352.8709396
747	351.0747972
748	348.0520841
749	345.5485675
750	343.0077984
751	342.5557868
752	339.9677351
753	338.0115589
754	331.5226542
755	326.2763652
756	323.7190032
757	321.2490842
758	319.2443737
759	318.5911653
760	316.2648961
761	314.5180374
762	314.334837
763	312.3576117
764	312.1650251
765	311.9585699
766	310.3626902
767	308.9943385
768	307.6444391
769	307.2363843
770	306.1596483
771	303.6649977
772	302.6167402
773	300.3556296
774	299.2323151
775	299.0615277
776	298.1986826
777	297.8600737
778	297.2163957
779	295.2614478
780	294.5301669
781	294.0240821
782	292.9999333
783	289.2235996
784	289.1875892
785	286.0973991
786	283.2045397
787	280.8733717
788	279.8032532
789	279.5341203
790	277.5259561
791	276.5933098
792	275.70777
793	274.8854299
794	274.1330371
795	271.6062472
796	269.8072979
797	268.2428861
798	266.936713
799	266.5176084
800	265.4918256
801	262.3012456
802	261.4106801
803	259.5809465
804	258.1631502
805	257.7307445
806	256.6838362
807	256.1700596
808	255.2139339
809	253.5580426
810	253.2292152
811	252.0064144
812	251.6593443
813	250.9112626
814	249.374545
815	248.1803883
816	247.324722
817	246.156815
818	244.5689643
