iter	Passed	Remaining
0	178	356209
1	205	205227
2	232	154581
3	262	130824
4	291	116347
5	320	106500
6	350	99654
7	379	94473
8	409	90518
9	439	87417
10	468	84731
11	497	82409
12	526	80521
13	557	79046
14	581	76945
15	610	75709
16	640	74746
17	670	73797
18	700	73000
19	728	72169
20	758	71436
21	787	70827
22	817	70258
23	845	69650
24	875	69163
25	904	68651
26	932	68175
27	963	67839
28	992	67478
29	1022	67120
30	1051	66792
31	1081	66507
32	1110	66205
33	1140	65934
34	1170	65703
35	1200	65478
36	1230	65273
37	1259	65014
38	1288	64806
39	1318	64624
40	1347	64404
41	1377	64210
42	1407	64070
43	1437	63884
44	1466	63697
45	1498	63639
46	1529	63536
47	1558	63394
48	1588	63251
49	1617	63079
50	1646	62940
51	1677	62837
52	1706	62696
53	1735	62536
54	1765	62440
55	1795	62320
56	1824	62205
57	1854	62085
58	1883	61964
59	1915	61939
60	1945	61827
61	1975	61734
62	2007	61713
63	2045	61864
64	2075	61780
65	2104	61656
66	2133	61560
67	2163	61457
68	2194	61410
69	2234	61603
70	2271	61721
71	2308	61823
72	2346	61946
73	2386	62103
74	2424	62228
75	2464	62383
76	2502	62502
77	2538	62563
78	2574	62595
79	2609	62621
80	2643	62630
81	2681	62710
82	2711	62634
83	2746	62652
84	2785	62751
85	2820	62761
86	2855	62786
87	2892	62841
88	2926	62847
89	2961	62856
90	2999	62914
91	3033	62919
92	3068	62921
93	3104	62954
94	3140	62973
95	3174	62955
96	3211	63007
97	3246	63010
98	3281	63002
99	3318	63044
100	3352	63028
101	3392	63132
102	3417	62947
103	3453	62951
104	3493	63046
105	3532	63112
106	3567	63113
107	3601	63098
108	3636	63088
109	3673	63116
110	3709	63121
111	3747	63168
112	3783	63176
113	3817	63157
114	3852	63144
115	3887	63137
116	3923	63141
117	3959	63154
118	3997	63179
119	4035	63229
120	4078	63333
121	4113	63325
122	4148	63304
123	4183	63287
124	4220	63305
125	4255	63287
126	4294	63328
127	4327	63294
128	4363	63291
129	4398	63264
130	4432	63236
131	4470	63264
132	4507	63270
133	4542	63250
134	4577	63241
135	4612	63221
136	4648	63218
137	4686	63236
138	4722	63226
139	4759	63227
140	4793	63200
141	4829	63197
142	4864	63176
143	4898	63142
144	4935	63143
145	4969	63111
146	5009	63151
147	5046	63151
148	5081	63131
149	5116	63105
150	5152	63087
151	5187	63068
152	5221	63032
153	5257	63018
154	5292	62992
155	5327	62974
156	5363	62955
157	5404	63005
158	5439	62984
159	5478	63006
160	5513	62982
161	5554	63023
162	5591	63011
163	5626	62986
164	5659	62941
165	5696	62930
166	5729	62888
167	5763	62850
168	5797	62816
169	5834	62804
170	5878	62876
171	5917	62888
172	5954	62883
173	5989	62855
174	6029	62874
175	6080	63014
176	6119	63022
177	6154	63001
178	6189	62961
179	6224	62940
180	6261	62921
181	6295	62882
182	6329	62850
183	6365	62828
184	6404	62836
185	6445	62861
186	6481	62843
187	6518	62829
188	6553	62798
189	6592	62803
190	6628	62779
191	6664	62757
192	6700	62736
193	6735	62704
194	6769	62659
195	6802	62606
196	6845	62652
197	6873	62558
198	6911	62551
199	6954	62590
200	6992	62584
201	7030	62581
202	7075	62637
203	7118	62672
204	7157	62673
205	7195	62660
206	7229	62623
207	7264	62588
208	7300	62557
209	7335	62524
210	7370	62489
211	7404	62450
212	7438	62403
213	7474	62381
214	7513	62376
215	7548	62348
216	7586	62331
217	7621	62298
218	7663	62319
219	7699	62295
220	7733	62249
221	7766	62205
222	7802	62174
223	7838	62148
224	7873	62109
225	7910	62091
226	7945	62058
227	7981	62030
228	8018	62015
229	8053	61978
230	8091	61968
231	8138	62022
232	8175	61997
233	8210	61963
234	8245	61929
235	8282	61910
236	8319	61884
237	8356	61863
238	8390	61823
239	8426	61792
240	8461	61759
241	8496	61719
242	8533	61701
243	8569	61670
244	8605	61642
245	8646	61649
246	8682	61620
247	8717	61585
248	8752	61550
249	8787	61512
250	8823	61482
251	8858	61448
252	8897	61436
253	8932	61404
254	8968	61372
255	9005	61349
256	9050	61383
257	9089	61374
258	9126	61348
259	9162	61316
260	9200	61304
261	9236	61273
262	9272	61244
263	9311	61229
264	9346	61194
265	9383	61170
266	9421	61149
267	9456	61114
268	9495	61101
269	9530	61065
270	9567	61043
271	9603	61008
272	9640	60988
273	9677	60961
274	9719	60966
275	9764	60994
276	9801	60970
277	9838	60943
278	9872	60900
279	9908	60869
280	9942	60825
281	9977	60785
282	10013	60751
283	10047	60711
284	10084	60685
285	10119	60649
286	10166	60677
287	10206	60674
288	10242	60641
289	10277	60603
290	10312	60561
291	10349	60537
292	10384	60498
293	10419	60460
294	10460	60458
295	10495	60417
296	10532	60392
297	10569	60367
298	10603	60325
299	10638	60284
300	10675	60255
301	10710	60222
302	10748	60201
303	10786	60178
304	10828	60178
305	10864	60147
306	10901	60118
307	10939	60098
308	10976	60068
309	11017	60062
310	11051	60017
311	11088	59992
312	11123	59955
313	11158	59912
314	11193	59878
315	11231	59853
316	11271	59842
317	11307	59806
318	11343	59777
319	11377	59733
320	11413	59700
321	11449	59665
322	11492	59668
323	11528	59637
324	11568	59621
325	11604	59591
326	11641	59562
327	11677	59527
328	11718	59520
329	11755	59488
330	11789	59447
331	11825	59410
332	11860	59375
333	11898	59350
334	11932	59306
335	11967	59266
336	12002	59229
337	12037	59191
338	12075	59167
339	12111	59134
340	12146	59096
341	12182	59062
342	12224	59054
343	12261	59026
344	12295	58982
345	12332	58955
346	12370	58928
347	12406	58894
348	12441	58855
349	12475	58814
350	12511	58778
351	12549	58755
352	12584	58713
353	12618	58671
354	12653	58632
355	12687	58591
356	12723	58555
357	12757	58514
358	12791	58470
359	12826	58433
360	12862	58397
361	12897	58357
362	12935	58332
363	12972	58303
364	13007	58265
365	13042	58226
366	13076	58185
367	13111	58148
368	13147	58112
369	13187	58097
370	13226	58077
371	13263	58045
372	13310	58059
373	13351	58047
374	13387	58013
375	13427	57994
376	13466	57975
