iter	RMSE
0	1582905.517
1	1243196.709
2	1005811.019
3	812658.2137
4	680676.6183
5	574869.5279
6	488428.369
7	430019.175
8	386216.2308
9	352565.5935
10	317003.507
11	289981.6146
12	274010.098
13	262949.9592
14	246416.155
15	242959.5733
16	235191.1348
17	224506.6363
18	218545.2877
19	213685.481
20	204824.3054
21	198329.1427
22	187047.6146
23	181631.9519
24	176959.6032
25	173814.5206
26	168717.3053
27	166526.2534
28	162309.8363
29	159645.2194
30	154738.3619
31	149638.225
32	145667.6798
33	141753.5423
34	140043.3418
35	136094.876
36	134514.7236
37	129442.7679
38	127282.3692
39	123681.6567
40	118836.0174
41	114811.1898
42	113392.122
43	111920.096
44	110161.7482
45	109811.6727
46	109174.8962
47	106051.3162
48	103469.3769
49	101639.2133
50	99999.1486
51	98873.15742
52	98134.46849
53	96421.21248
54	94305.10686
55	93623.5329
56	90953.58637
57	88926.41918
58	88787.04873
59	87343.63458
60	85562.94951
61	83402.70069
62	80967.31137
63	80296.66479
64	79504.1366
65	78017.5888
66	76724.07783
67	75240.76368
68	74336.7071
69	72485.22909
70	71948.2824
71	71430.23818
72	70630.03232
73	68958.09904
74	68196.32979
75	67151.92003
76	66814.33588
77	65868.43807
78	65219.92946
79	64107.53848
80	62637.9406
81	60797.98692
82	60261.72382
83	60084.7073
84	59215.40115
85	58229.11278
86	57655.94123
87	57192.55685
88	55979.09096
89	55292.78018
90	54325.20512
91	54253.21819
92	53154.16278
93	52023.2212
94	51545.89832
95	51305.89111
96	50386.86769
97	49828.7438
98	49223.12099
99	48306.85653
100	47611.03897
101	46562.88206
102	46508.38145
103	45660.44123
104	45175.29688
105	44840.75103
106	43993.64603
107	43405.94526
108	43080.0695
109	43034.12056
110	42545.1719
111	41777.93461
112	41234.54919
113	41182.35366
114	40894.37567
115	40618.32846
116	40162.37317
117	39642.37262
118	39595.82686
119	39147.22357
120	38574.82851
121	38189.72914
122	37963.64613
123	37206.02045
124	36738.53723
125	36299.73563
126	35932.11753
127	35432.91514
128	35116.95316
129	34966.94153
130	34601.30362
131	34325.60942
132	33818.90234
133	33391.13292
134	33241.62854
135	32639.89879
136	32161.7933
137	32138.37517
138	31785.28555
139	31395.93961
140	31213.28167
141	30750.47289
142	30710.09646
143	30539.77742
144	30021.12786
145	29614.66759
146	29276.04329
147	28876.69271
148	28448.88976
149	28291.56927
150	27780.41368
151	27402.18261
152	27052.92208
153	26783.25222
154	26541.31102
155	26442.21954
156	25891.44172
157	25537.59326
158	24989.97416
159	24711.45029
160	24232.93663
161	23957.90006
162	23769.14379
163	23583.89418
164	23450.90462
165	23110.64059
166	22876.70306
167	22787.55716
168	22676.36836
169	22655.46711
170	22427.31808
171	22261.53433
172	22130.97017
173	21965.9997
174	21681.31451
175	21470.3145
176	21129.98978
177	20764.77702
178	20547.14951
179	20270.16614
180	20079.64703
181	19842.48893
182	19817.47178
183	19778.27598
184	19716.44711
185	19497.15409
186	19396.28049
187	19194.43383
188	19098.37443
189	18885.91716
190	18562.23387
191	18284.37169
192	18253.18082
193	18163.17706
194	17900.40959
195	17685.67835
196	17623.96314
197	17392.43157
198	17324.30058
199	17116.50641
200	16928.7427
201	16735.86168
202	16319.86137
203	16192.93667
204	15988.03117
205	15849.41192
206	15842.03673
207	15673.78952
208	15554.48523
209	15359.41555
210	15110.53975
211	14999.39863
212	14870.81431
213	14574.06677
214	14474.05782
215	14314.75891
216	14242.94674
217	14126.08359
218	13999.61458
219	13892.57159
220	13791.19431
221	13665.72903
222	13572.89026
223	13495.97359
224	13357.62202
225	13095.5564
226	12862.24665
227	12751.36351
228	12722.86744
229	12632.22698
230	12513.30415
231	12385.15783
232	12298.18363
233	12226.9198
234	12170.47462
235	12059.60121
236	11914.87428
237	11810.83813
238	11651.24893
239	11464.42857
240	11339.26062
241	11183.3638
242	11093.3198
243	10999.83639
244	10891.50317
245	10867.52696
