iter	Passed	Remaining
0	179	359584
1	211	210893
2	246	164153
3	274	136899
4	305	122042
5	339	112671
6	371	105694
7	403	100577
8	436	96485
9	467	93079
10	501	90649
11	533	88347
12	565	86496
13	598	84932
14	631	83513
15	648	80461
16	680	79322
17	712	78466
18	745	77697
19	778	77057
20	810	76407
21	843	75817
22	875	75233
23	907	74741
24	940	74320
25	974	73951
26	1006	73535
27	1039	73229
28	1071	72858
29	1103	72484
30	1136	72207
31	1169	71922
32	1201	71633
33	1234	71368
34	1266	71109
35	1298	70866
36	1330	70598
37	1363	70422
38	1395	70192
39	1428	69999
40	1462	69891
41	1495	69712
42	1527	69524
43	1563	69514
44	1597	69401
45	1635	69469
46	1667	69299
47	1700	69151
48	1733	69034
49	1766	68887
50	1799	68759
51	1832	68642
52	1864	68498
53	1897	68396
54	1931	68287
55	1963	68163
56	1995	68037
57	2027	67902
58	2060	67800
59	2093	67686
60	2126	67603
61	2158	67485
62	2207	67866
63	2239	67745
64	2272	67635
65	2308	67651
66	2361	68133
67	2411	68509
68	2458	68807
69	2500	68931
70	2541	69039
71	2594	69472
72	2637	69626
73	2678	69716
74	2720	69813
75	2760	69875
76	2798	69889
77	2839	69957
78	2880	70034
79	2922	70142
80	2960	70140
81	3001	70195
82	3040	70228
83	3079	70241
84	3120	70314
85	3159	70323
86	3202	70410
87	3242	70460
88	3285	70543
89	3330	70684
90	3369	70692
91	3411	70759
92	3451	70769
93	3494	70858
94	3535	70897
95	3576	70936
96	3619	71016
97	3683	71499
98	3735	71727
99	3781	71841
100	3820	71827
101	3866	71943
102	3914	72100
103	3968	72345
104	4011	72398
105	4052	72403
106	4093	72412
107	4134	72426
108	4179	72511
109	4223	72565
110	4263	72563
111	4309	72650
112	4349	72640
113	4387	72586
114	4427	72568
115	4466	72549
116	4509	72578
117	4550	72579
118	4590	72561
119	4629	72521
120	4668	72497
121	4708	72473
122	4747	72442
123	4787	72434
124	4829	72436
125	4870	72436
126	4911	72431
127	4948	72379
128	4989	72369
129	5032	72392
130	5075	72415
131	5119	72447
132	5158	72412
133	5202	72453
134	5268	72779
135	5313	72831
136	5355	72820
137	5398	72843
